Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1378,"G. Zyskind","Decentralizing privacy: Using blockchain to protect personal data",2015,"Proceedings - 2015 IEEE Security and Privacy Workshops, SPW 2015","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945945234&origin=inward",1,"2022-06-13 20:08:57","Conference Paper","10.1109/SPW.2015.27","","https://api.elsevier.com/content/abstract/scopus_id/84945945234",,,180,184,1378,196.86,1378,1,7,"","",""
647,"X. Yue","Healthcare Data Gateways: Found Healthcare Intelligence on Blockchain with Novel Privacy Risk Control",2016,"Journal of Medical Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984636595&origin=inward",2,"2022-06-13 20:08:57","Article","10.1007/s10916-016-0574-6","0148-5598","https://api.elsevier.com/content/abstract/scopus_id/84984636595",40,10,,,647,107.83,647,1,6,"","",""
429,"X. Liang","ProvChain: A Blockchain-Based Data Provenance Architecture in Cloud Environment with Enhanced Privacy and Availability",2017,"Proceedings - 2017 17th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGRID 2017","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85023758316&origin=inward",3,"2022-06-13 20:08:57","Conference Paper","10.1109/CCGRID.2017.8","","https://api.elsevier.com/content/abstract/scopus_id/85023758316",,,468,477,429,85.80,429,1,5,"","",""
379,"C. Esposito","Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy?",2018,"IEEE Cloud Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045035827&origin=inward",4,"2022-06-13 20:08:57","Article","10.1109/MCC.2018.011791712","2325-6095","https://api.elsevier.com/content/abstract/scopus_id/85045035827",5,1,31,37,379,94.75,379,1,4,"","",""
233,"Y. Lu","Blockchain and Federated Learning for Privacy-Preserved Data Sharing in Industrial IoT",2020,"IEEE Transactions on Industrial Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081670877&origin=inward",5,"2022-06-13 20:08:57","Article","10.1109/TII.2019.2942190","1551-3203","https://api.elsevier.com/content/abstract/scopus_id/85081670877",16,6,4177,4186,233,116.50,233,1,2,"","",""
218,"A. Zhang","Towards Secure and Privacy-Preserving Data Sharing in e-Health Systems via Consortium Blockchain",2018,"Journal of Medical Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049116418&origin=inward",6,"2022-06-13 20:08:57","Article","10.1007/s10916-018-0995-5","0148-5598","https://api.elsevier.com/content/abstract/scopus_id/85049116418",42,8,,,218,54.50,218,1,4,"","",""
180,"M. Shen","Privacy-Preserving Support Vector Machine Training over Blockchain-Based Encrypted IoT Data in Smart Cities",2019,"IEEE Internet of Things Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069186132&origin=inward",7,"2022-06-13 20:08:57","Article","10.1109/JIOT.2019.2901840","2327-4662","https://api.elsevier.com/content/abstract/scopus_id/85069186132",6,5,7702,7712,180,60.00,180,1,3,"","",""
150,"A.A. Omar","Privacy-friendly platform for healthcare data in cloud based on blockchain environment",2019,"Future Generation Computer Systems","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167739X18314201","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060541748&origin=inward",8,"2022-06-13 20:08:57","Article","10.1016/j.future.2018.12.044","0167-739X","https://api.elsevier.com/content/abstract/scopus_id/85060541748",95,,511,521,150,50.00,150,1,3,"","",""
129,"A. Al Omar","MediBchain: A blockchain based privacy preserving platform for healthcare data",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040123574&origin=inward",9,"2022-06-13 20:08:57","Conference Paper","10.1007/978-3-319-72395-2_49","0302-9743","https://api.elsevier.com/content/abstract/scopus_id/85040123574",10658,,534,543,129,25.80,129,1,5,"","",""
119,"J. Xu","Healthchain: A Blockchain-Based Privacy Preserving Scheme for Large-Scale Health Data",2019,"IEEE Internet of Things Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073422904&origin=inward",10,"2022-06-13 20:08:57","Article","10.1109/JIOT.2019.2923525","2327-4662","https://api.elsevier.com/content/abstract/scopus_id/85073422904",6,5,8770,8781,119,39.67,119,1,3,"","",""
