Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Journal,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Notes,Series
34.0,"SP Mann, J Savulescu, P Ravaud, ...","Blockchain, consent and prosent for medical research",2021.0,Journal of medical …,jme.bmj.com,https://jme.bmj.com/content/47/4/244.abstract,"https://scholar.google.com/scholar?cites=14209398746666134632&as_sdt=2005&sciodt=0,5&hl=en",1.0,2023-11-17 09:14:23,,,,,,,,,34.0,17.0,9.0,4.0,2.0,… using blockchain-based smart contracts. This paper demonstrates how blockchain technologies can be used to further all three of the bioethical principles underlying consent …,https://jme.bmj.com/content/medethics/47/4/244.full.pdf,"https://scholar.google.com/scholar?q=related:aGzqHuDsMcUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,"G Albanese, JP Calbimonte, M Schumacher, ...",Dynamic consent management for clinical trials via private blockchain technology,2020.0,Journal of ambient …,Springer,https://link.springer.com/article/10.1007/s12652-020-01761-1,"https://scholar.google.com/scholar?cites=6831486855633420312&as_sdt=2005&sciodt=0,5&hl=en",12.0,2023-11-17 09:14:23,HTML,10.1007/s12652-020-01761-1,,,,,,,64.0,21.33,16.0,4.0,3.0,"… , and (v) participant-centered control over her own consent preferences, approvals and … consent in clinical trials, based on blockchain technology (BCT). The usage of blockchain—an …",https://link.springer.com/article/10.1007/s12652-020-01761-1,"https://scholar.google.com/scholar?q=related:GMDHtRlRzl4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,"K Rantos, G Drosatos, K Demertzis, C Ilioudis, ...",ADvoCATE: a consent management platform for personal data processing in the IoT using blockchain technology,2019.0,… Security Solutions for …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-12942-2_23,"https://scholar.google.com/scholar?cites=4862280801241463403&as_sdt=2005&sciodt=0,5&hl=en",20.0,2023-11-17 09:14:23,,10.1007/978-3-030-12942-2_23,,,,,,,69.0,17.25,14.0,5.0,4.0,… the blockchain infrastructure through the smart contract and comparing the retrieved hash with a new hash of the consent digital signatures. The utilisation of a blockchain infrastructure …,https://www.academia.edu/download/63289089/secitc2018-advocate-consent_fin20200512-86045-feadb1.pdf,"https://scholar.google.com/scholar?q=related:a_oylKBKekMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,"A Nigam, A Behl, V Pereira, S Sangal",Impulse purchases during emergency situations: exploring permission marketing and the role of blockchain,2023.0,Industrial Management &Data …,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/IMDS-12-2021-0799/full/html,"https://scholar.google.com/scholar?cites=16151608835035554272&as_sdt=2005&sciodt=0,5&hl=en",22.0,2023-11-17 09:14:23,,10.1108/IMDS-12-2021-0799,,,,,,,14.0,14.0,4.0,4.0,1.0,… This paper further explores how digital transformations like the use of blockchain technology can aid offline/omnichannel retailers in reviving sales via permission marketing for impulse …,https://www.emerald.com/insight/content/doi/10.1108/IMDS-12-2021-0799/full/pdf,"https://scholar.google.com/scholar?q=related:4OFaG6kKJuAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,"JE Rivadeneira, MB Jiménez, R Marculescu, ...",A blockchain-based privacy-preserving model for consent and transparency in human-centered Internet of Things,2023.0,Proceedings of the 8th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3576842.3582379,"https://scholar.google.com/scholar?cites=13139440999214589026&as_sdt=2005&sciodt=0,5&hl=en",31.0,2023-11-17 09:14:23,,10.1145/3576842.3582379,,,,,,,2.0,2.0,1.0,4.0,1.0,The inclusion of human-related aspects in the Internet of Things paradigm leads to the development of models and solutions that address several challenges of our society. The …,https://dl.acm.org/doi/pdf/10.1145/3576842.3582379,"https://scholar.google.com/scholar?q=related:YqRjGfmrWLYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,"GI Navaroj, EG Julie, ...",Adaptive practical Byzantine fault tolerance consensus algorithm in permission blockchain network,2022.0,International Journal of …,inderscienceonline.com,https://www.inderscienceonline.com/doi/abs/10.1504/IJWGS.2022.119273,"https://scholar.google.com/scholar?cites=4709188550499203907&as_sdt=2005&sciodt=0,5&hl=en",36.0,2023-11-17 09:14:23,,10.1504/IJWGS.2022.119273,,,,,,,8.0,8.0,3.0,3.0,1.0,"… of entire nodes in the blockchain. There are two types of blockchain: permission blockchain and permission less blockchain. Proof of Work, Proof of Stack, and Proof of Burn are …",https://www.inderscienceonline.com/doi/pdf/10.1504/IJWGS.2022.119273,"https://scholar.google.com/scholar?q=related:Q3vXTAlmWkEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,"C Hu, C Li, G Zhang, Z Lei, M Shah, Y Zhang, C Xing, ...",CrowdMed-II: a blockchain-based framework for efficient consent management in health data sharing,2022.0,World Wide Web,Springer,https://link.springer.com/article/10.1007/s11280-021-00923-1,"https://scholar.google.com/scholar?cites=1534341049550611422&as_sdt=2005&sciodt=0,5&hl=en",41.0,2023-11-17 09:14:23,HTML,10.1007/s11280-021-00923-1,,,,,,,7.0,7.0,1.0,8.0,1.0,"… Next, we describe the use of blockchain in health data sharing and some blockchain-based systems that others have proposed. Last, we introduce blockchain technologies and smart …",https://link.springer.com/article/10.1007/s11280-021-00923-1,"https://scholar.google.com/scholar?q=related:3qPDJg4TSxUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,"G Despotou, J Evans, W Nash, A Eavis, ...",Evaluation of patient perception towards dynamic health data sharing using blockchain based digital consent with the Dovetail digital consent application: A cross …,2020.0,Digital …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/2055207620924949,"https://scholar.google.com/scholar?cites=5458973687319041746&as_sdt=2005&sciodt=0,5&hl=en",44.0,2023-11-17 09:14:23,,10.1177/2055207620924949,,,,,,,14.0,4.67,3.0,5.0,3.0,"… to digitally consent to sharing their data between services, using blockchain. This paper presents an evaluation of patients’ attitudes towards the deployed digital consent application as …",https://journals.sagepub.com/doi/pdf/10.1177/2055207620924949,"https://scholar.google.com/scholar?q=related:0hbbTqUrwksJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,"KY Huh, SJ Moon, S Jeong, MJ Kim, ...",Evaluation of a blockchain‐based dynamic consent platform (METORY) in a decentralized and multicenter clinical trial using virtual drugs,2022.0,Clinical and …,Wiley Online Library,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1111/cts.13246,"https://scholar.google.com/scholar?cites=5249545194839456047&as_sdt=2005&sciodt=0,5&hl=en",45.0,2023-11-17 09:14:23,,10.1111/cts.13246,,,,,,,6.0,6.0,1.0,5.0,1.0,"… Overall study completion rates, proportion of consent, and … and the overall proportion of consent to each protocol amendment … evaluated a blockchain-based dynamic consent platform in …",https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1111/cts.13246,"https://scholar.google.com/scholar?q=related:L7nDmooh2kgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,"M Shah, C Li, M Sheng, Y Zhang, C Xing",CrowdMed: A blockchain-based approach to consent management for health data sharing,2019.0,"… , July 1–2, 2019, Proceedings 7",Springer,https://link.springer.com/chapter/10.1007/978-3-030-34482-5_31,"https://scholar.google.com/scholar?cites=2074372457733162080&as_sdt=2005&sciodt=0,5&hl=en",47.0,2023-11-17 09:14:23,,10.1007/978-3-030-34482-5_31,,,,,,,14.0,3.5,3.0,5.0,4.0,… specific configuration of the blockchain. The popular Bitcoin … The mining activities in a blockchain open the possibility of … blockchain-based approach to managing patient consent and …,,"https://scholar.google.com/scholar?q=related:YAQKg8KmyRwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
