Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"SP Mann, J Savulescu, P Ravaud, ...","Blockchain, consent and prosent for medical research",2021,"Journal of medical …","jme.bmj.com","https://jme.bmj.com/content/47/4/244.abstract","https://scholar.google.com/scholar?cites=14209398746666134632&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-11-17 09:14:23","","","","",,,,,34,17.00,9,4,2,"… using blockchain-based smart contracts. This paper demonstrates how blockchain technologies can be used to further all three of the bioethical principles underlying consent …","https://jme.bmj.com/content/medethics/47/4/244.full.pdf","https://scholar.google.com/scholar?q=related:aGzqHuDsMcUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
2422,"A Azaria, A Ekblaw, T Vieira, ...","Medrec: Using blockchain for medical data access and permission management",2016,"2016 2nd international …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7573685/","https://scholar.google.com/scholar?cites=2350605870672936943&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-11-17 09:14:23","","","","",,,,,2422,346.00,606,4,7,"Years of heavy regulation and bureaucratic inefficiency have slowed innovation for electronic medical records (EMRs). We now face a critical need for such innovation, as …","https://ieeexplore.ieee.org/iel7/7573665/7573673/07573685.pdf","https://scholar.google.com/scholar?q=related:739o2JUHnyAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
48,"PV Kakarlapudi, QH Mahmoud","A systematic review of blockchain for consent management",2021,"Healthcare","mdpi.com","https://www.mdpi.com/2227-9032/9/2/137","https://scholar.google.com/scholar?cites=14655047306785875065&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-11-17 09:14:23","","","","",,,,,48,24.00,24,2,2,"… We believe that consent management with Blockchain makes the process easier, more … A blockchain is a digital transaction archive that is duplicated and circulated on the blockchain …","https://www.mdpi.com/2227-9032/9/2/137/pdf","https://scholar.google.com/scholar?q=related:eWSEN-EvYcsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
24,"TM Kim, SJ Lee, DJ Chang, J Koo, T Kim, KH Yoon, ...","DynamiChain: development of medical blockchain ecosystem based on dynamic consent system",2021,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/11/4/1612","https://scholar.google.com/scholar?cites=6552979052989176052&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-11-17 09:14:23","","","","",,,,,24,12.00,3,7,2,"… Although blockchain is acknowledged as one of the most … In addition, contemporary blockchain-converged solutions do … of a dynamic consent medical blockchain system called …","https://www.mdpi.com/2076-3417/11/4/1612/pdf","https://scholar.google.com/scholar?q=related:9Nj-wbrb8FoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
80,"V Jaiman, V Urovi","A consent model for blockchain-based health data sharing platforms",2020,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9159120/","https://scholar.google.com/scholar?cites=7188483273359487766&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-11-17 09:14:23","","","","",,,,,80,26.67,40,2,3,"… In this article, we present a blockchain-based data-sharing consent … ’s consent over health data and to enable data requesters to search and access those data. The dynamic consent …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09159120.pdf","https://scholar.google.com/scholar?q=related:FvNtbnOfwmMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
203,"M Benchoufi, R Porcher, P Ravaud","Blockchain protocols in clinical trials: Transparency and traceability of consent",2017,"F1000Research","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5676196/","https://scholar.google.com/scholar?cites=12601695881942225351&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-11-17 09:14:23","HTML","","","",,,,,203,33.83,68,3,6,"… consent workflow using a rising technology called Blockchain… point of view, we believe Blockchain technology brings a … patient’s consent collection using Blockchain; thus archiving …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5676196/","https://scholar.google.com/scholar?q=related:x1GrUqM34q4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
40,"S Gilda, M Mehrotra","Blockchain for student data privacy and consent",2018,"2018 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8441445/","https://scholar.google.com/scholar?cites=9926670920234665202&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-11-17 09:14:23","","","","",,,,,40,8.00,20,2,5,"… Parents are asked to sign multiple permission forms, but are not given an efficient manner by which they can differentiate between fields for consent nor keep track of usage. Blockchain …","https://ieeexplore.ieee.org/iel7/8422049/8441201/08441445.pdf","https://scholar.google.com/scholar?q=related:8oTJspuewokJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
33,"D Tith, JS Lee, H Suzuki, ...","Patient consent management by a purpose-based consent model for electronic health record based on blockchain technology",2020,"Healthcare …","synapse.koreamed.org","https://synapse.koreamed.org/articles/1145361","https://scholar.google.com/scholar?cites=1848830931180491524&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-11-17 09:14:23","HTML","","","",,,,,33,11.00,8,4,3,"… Our consent model is a solution for consent management both for patients and healthcare organizations. Our system, as a blockchain-based solution that provides high reliability and …","https://synapse.koreamed.org/articles/1145361","https://scholar.google.com/scholar?q=related:BJPEtu9dqBkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
60,"N Mamo, GM Martin, M Desira, B Ellul, ...","Dwarna: a blockchain solution for dynamic consent in biobanking",2020,"European Journal of …","nature.com","https://www.nature.com/articles/s41431-019-0560-9","https://scholar.google.com/scholar?cites=3075477227805524150&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-11-17 09:14:23","HTML","","","",,,,,60,20.00,12,5,3,"… partners’ consent changes more transparently. However, the blockchain is perceived as … for obtaining consent in the field of genomic research and the blockchain. Subsequently, we …","https://www.nature.com/articles/s41431-019-0560-9","https://scholar.google.com/scholar?q=related:tsAmfj5KrioJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
71,"K Bhaskaran, P Ilfrich, D Liffman, ...","Double-blind consent-driven data sharing on blockchain",2018,"… conference on cloud …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8360358/","https://scholar.google.com/scholar?cites=16004364238405578486&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-11-17 09:14:23","","","","",,,,,71,14.20,18,4,5,"… benefit from sharing process and data on a blockchain network. However, sharing of confidential … for consent-driven and double-blind data sharing on the Hyperledger Fabric blockchain …","https://ieeexplore.ieee.org/iel7/8359996/8360205/08360358.pdf","https://scholar.google.com/scholar?q=related:9i4h5nrsGt4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=0,5"
