"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Jung H.H.; Pfister F.M.J.","Jung, Hans H. (57215844282); Pfister, Franz M.J. (57190406157)","57215844282; 57190406157","Blockchain-enabled Clinical Study Consent Management","2020","Technology Innovation Management Review","10","2","","14","24","10","8","10.22215/timreview/1325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082082174&doi=10.22215%2ftimreview%2f1325&partnerID=40&md5=10b9425ed78581fd2c22ff3f7d5a16c6","Written informed consent (WIC) is required in the context of voluntary participation in a clinical trial. The trial participant gives WIC in accordance with various regulatory requirements. We present a framework concept for a blockchain-based distributed ledger solution, which aims at implementing simple and secure management of WIC documentation, along the entire data value chain from acquiring consent to academic publication, and (commercially) exploiting the results of a clinical study. This may include (but is not limited to) clinical deployment, security monitoring, and conformity with data privacy and ethical standards. Thus, we present a potential “Health AI” application that goes beyond WIC documentation, to enabling the creation of a holistic data provenance trail graph. Such a framework concept aims to create sustainable value for study participants, clinicians, data scientists, and ultimately consumers. The framework's usefulness is relevant for ensuring the ethical development of artificial intelligence applications in the healthcare domain. © 2012 Universidad Autonoma del Estado de Mexico. All rights reserved.","AI Ethics; Blockchain; Clinical Study; Health Artificial Intelligence (AI); Platform Business Model; Written Informed Consent","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85082082174"
"Mamo N.; Martin G.M.; Desira M.; Ellul B.; Ebejer J.-P.","Mamo, Nicholas (57201582128); Martin, Gillian M. (56523763900); Desira, Maria (57212507986); Ellul, Bridget (56615920300); Ebejer, Jean-Paul (55210473600)","57201582128; 56523763900; 57212507986; 56615920300; 55210473600","Dwarna: a blockchain solution for dynamic consent in biobanking","2020","European Journal of Human Genetics","28","5","","609","626","17","39","10.1038/s41431-019-0560-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076891629&doi=10.1038%2fs41431-019-0560-9&partnerID=40&md5=3c82a7edb0ab26d88e8560fbe39bdaa9","Dynamic consent aims to empower research partners and facilitate active participation in the research process. Used within the context of biobanking, it gives individuals access to information and control to determine how and where their biospecimens and data should be used. We present Dwarna—a web portal for ‘dynamic consent’ that acts as a hub connecting the different stakeholders of the Malta Biobank: biobank managers, researchers, research partners, and the general public. The portal stores research partners’ consent in a blockchain to create an immutable audit trail of research partners’ consent changes. Dwarna’s structure also presents a solution to the European Union’s General Data Protection Regulation’s right to erasure—a right that is seemingly incompatible with the blockchain model. Dwarna’s transparent structure increases trustworthiness in the biobanking process by giving research partners more control over which research studies they participate in, by facilitating the withdrawal of consent and by making it possible to request that the biospecimen and associated data are destroyed. © 2019, The Author(s).","","Biological Specimen Banks; Blockchain; Genetic Privacy; Genetics, Medical; Humans; Informed Consent; Software; Stakeholder Participation; access to information; adult; article; biobank; European Union; human; Malta; manager; genetic privacy; informed consent; medical genetics; software; stakeholder engagement","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85076891629"
"Daraghmi E.-Y.; Daraghmi Y.-A.; Yuan S.-M.","Daraghmi, Eman-Yasser (43260969300); Daraghmi, Yousef-Awwad (55611420300); Yuan, Shyan-Ming (57135992000)","43260969300; 55611420300; 57135992000","MedChain: A design of blockchain-based system for medical records access and permissions management","2019","IEEE Access","7","","8895951","164595","164613","18","98","10.1109/ACCESS.2019.2952942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075631977&doi=10.1109%2fACCESS.2019.2952942&partnerID=40&md5=4b9d05c7696c4fcf23f2b47f16fa0f7c","Although the blockchain technology was first introduced through Bitcoin, extending its usage to non-financial applications, such as managing electronic medical records, is an attractive mission for recent research to balance the needs for increasing data privacy and the regular interaction among patients and health providers. Various systems that adopts the blockchain in managing medical records have been proposed. However, there is a need for more work to better characterize, understand and evaluate the employment of blockchain technology in the healthcare industry. In this paper, a design of blockchain based system, namely MedChain, for managing medical records is proposed. MedChain is designed to improve the current systems as it provides interoperable, secure, and effective access for medical records by patients, health care providers, and other third parties, while keeping the patients' privacy. MedChain employs timed-based smart contracts for governing transactions and controlling accesses to electronic medical records. It adopts advanced encryption techniques for providing further security. This work proposes a new incentive mechanism that leverages the degree of health providers regarding their efforts on maintaining medical records and creating new blocks. Extensive experiments are conducted to evaluate the MedChain performance, and results indicate the efficiency of our proposal in handling a large dataset at low latency. © 2013 IEEE.","Blockchain; Electronic medical records; Incentive mechanism; Smart contracts","Cryptography; Data privacy; Health care; Interoperability; Large dataset; Medical computing; Electronic medical record; Encryption technique; Financial applications; Health care providers; Healthcare industry; Incentive mechanism; Medical record; Recent researches; Blockchain","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85075631977"
"Ouaguid A.; Abghour N.; Ouzzif M.","Ouaguid, Abdellah (57216147995); Abghour, Noreddine (36080364700); Ouzzif, Mohammed (24178281900)","57216147995; 36080364700; 24178281900","A Novel Security Framework for Managing Android Permissions Using Blockchain Technology","2019","Digital Currency: Breakthroughs in Research and Practice","","","","141","167","26","1","10.4018/978-1-5225-6201-6.ch009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128066696&doi=10.4018%2f978-1-5225-6201-6.ch009&partnerID=40&md5=99a0b39fc048d33633a701498fe930dd","This article presents a new framework named ANDROSCANREG (Android Permissions Scan Registry) that allows to extract and analyze the requested permissions in an Android application via a decentralized and distributed system. This framework is based on the emerging technology Blockchain whose potential is approved in the matter of transparency, reliability, security and availability without resorting to a central processing unit judged of trust. ANDROSCANREG consists of two Blockchains, the first one (PERMBC) will handle analysis, validation and preparation of the raw results so that they will persist in the second Blockchain of Bitcoin already existing (BTCBC), which will assume the role of a Registry of recovered permissions and will save the permissions history of each version of the applications being scanned via financial transactions, whose wallet source, recipient wallet and transaction value have a precise meaning. An example of a simulation will be presented to describe the different steps, actors, interactions and messages generated by the different entity of ANDROSCANREG. © 2019 by IGI Global. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-85128066696"
"Despotou G.; Evans J.; Nash W.; Eavis A.; Robbins T.; Arvanitis T.N.","Despotou, George (15755084800); Evans, Jill (57216785069); Nash, William (57216780706); Eavis, Alexandra (58679814400); Robbins, Tim (57023172000); Arvanitis, Theodoros N (6701910707)","15755084800; 57216785069; 57216780706; 58679814400; 57023172000; 6701910707","Evaluation of patient perception towards dynamic health data sharing using blockchain based digital consent with the Dovetail digital consent application: A cross sectional exploratory study","2020","Digital Health","6","","","","","","10","10.1177/2055207620924949","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084653593&doi=10.1177%2f2055207620924949&partnerID=40&md5=33b01fc05f2ab4e65a1bf87271877722","Background: New patient-centric integrated care models are enabled by the capability to exchange the patient’s data amongst stakeholders, who each specialise in different aspects of the patient’s care. This requires a robust, trusted and flexible mechanism for patients to offer consent to share their data. Furthermore, new IT technologies make it easier to give patients more control over their data, including the right to revoke consent. These characteristics challenge the traditional paper-based, single-organisation-led consent process. The Dovetail digital consent application uses a mobile application and blockchain based infrastructure to offer this capability, as part of a pilot allowing patients to have their data shared amongst digital tools, empowering patients to manage their condition within an integrated care setting. Objective: To evaluate patient perceptions towards existing consent processes, and the Dovetail blockchain based digital consent application as a means to manage data sharing in the context of diabetes care. Method: Patients with diabetes at a General Practitioner practice were recruited. Data were collected using focus groups and questionnaires. Thematic analysis of the focus group transcripts and descriptive statistics of the questionnaires was performed. Results: There was a lack of understanding of existing consent processes in place, and many patients did not have any recollection of having previously given consent. The digital consent application received favourable feedback, with patients recognising the value of the capability offered by the application. Patients overwhelmingly favoured the digital consent application over existing practice. Conclusions: Digital consent was received favourably, with patients recognising that it addresses the main limitations of the current process. Feedback on potential improvements was received. Future work includes confirmation of results in a broader demographic sample and across multiple conditions. © The Author(s) 2020.","Blockchain; digital consent; dynamic consent; eHealth; EHRs","adult; article; blockchain; clinical evaluation; demography; diabetic patient; exploratory research; general practitioner; genetic transcription; human; mobile application; perception; questionnaire; telehealth; thematic analysis","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084653593"
"Velmovitsky P.E.; Souza Miranda P.A.D.S.E.; Vaillancourt H.; Donovska T.; Teague J.; Morita P.P.","Velmovitsky, Pedro Elkind (57195673774); Souza Miranda, Pedro Augusto Da Silva E. (57220482977); Vaillancourt, Hélène (57217228109); Donovska, Tania (57217232013); Teague, Jennifer (57220436172); Morita, Plinio Pelegrini (35113653200)","57195673774; 57220482977; 57217228109; 57217232013; 57220436172; 35113653200","A blockchain-based consent platform for active assisted living: Modeling study and conceptual framework","2020","Journal of Medical Internet Research","22","12","e20832","","","","17","10.2196/20832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097311494&doi=10.2196%2f20832&partnerID=40&md5=e3c683d5e99ffdff4d2747ed59da1f75","Background: Recent advancements in active assisted living (AAL) technologies allow older adults to age well in place. However, sensing technologies increase the complexity of data collection points, making it difficult for users to consent to data collection. One possible solution for improving transparency in the consent management process is the use of blockchain, an immutable and timestamped ledger. Objective: This study aims to provide a conceptual framework based on technology aimed at mitigating trust issues in the consent management process. Methods: The consent management process was modeled using established methodologies to obtain a mapping of trust issues. This mapping was then used to develop a conceptual framework based on previous monitoring and surveillance architectures for connected devices. Results: In this paper, we present a model that maps trust issues in the informed consent process; a conceptual framework capable of providing all the necessary underlining technologies, components, and functionalities required to develop applications capable of managing the process of informed consent for AAL, powered by blockchain technology to ensure transparency; and a diagram showing an instantiation of the framework with entities comprising the participants in the blockchain network, suggesting possible technologies that can be used. Conclusions: Our conceptual framework provides all the components and technologies that are required to enhance the informed consent process. Blockchain technology can help overcome several privacy challenges and mitigate trust issues that are currently present in the consent management process of data collection involving AAL technologies. © 2020 Journal of Medical Internet Research. All rights reserved.","Aging; Blockchain; Computer security; Computing methodologies; Health care; Informed consent; Internet of Things; Mobile phone","Activities of Daily Living; Aged; Blockchain; Humans; aged; Article; assisted living facility; blockchain; computer security; conceptual framework; consumer; human; informed consent; privacy; trust; daily life activity; psychology","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85097311494"
"Xv Q.; Song Y.; Li X.; Hu A.; Wang J.","Xv, Qianchuan (57226566158); Song, Yubo (23393708100); Li, Xuan (57226580835); Hu, Aiqun (7202699718); Wang, Junbo (57226580620)","57226566158; 23393708100; 57226580835; 7202699718; 57226580620","A Novel Blockchain-Based Revocable Permission Management on CP-ABE Scheme","2021","Communications in Computer and Information Science","1424","","","650","663","13","0","10.1007/978-3-030-78621-2_54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112021876&doi=10.1007%2f978-3-030-78621-2_54&partnerID=40&md5=a9367cbb39c624243a31d6e602f96379","Relying on the characteristics of decentralized, tamper-proof, and traceable, blockchain technology has begun to be widely used in permission management. It can be used for access control by using smart contracts to distribute tokens. But also because of the immutability of the blockchain, it cannot dynamically revoke permission. This paper proposed an on-chain user permission management mechanism that could support automatic and active permission revocation. This model proposed an extended CP-ABE chain user permission management model, which realized the permission grant based on user attributes by smart contracts. Furthermore, on this basis, an extended CP-ABE permission revocation mechanism was proposed. The timestamp technology was used to realize the automatic revocation of permission, and the subset coverage algorithm was used to realize the active revocation of permission. A blockchain-based permission distribution model was built, and the permission revocation scheme was introduced into it to conduct experiments. Its performance was tested and analyzed. The experimental results showed that when the number of permission distributions is 1000, the delay is about 5 s. At the same time, the permission change is above 130TPS, which met actual application requirements. © 2021, Springer Nature Switzerland AG.","Blockchain; Data security; Permission management","Access control; Artificial intelligence; Application requirements; Coverage algorithms; Distribution models; Management mechanisms; Permission management model; Revocation mechanism; Revocation scheme; Tamper proof; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85112021876"
"Zhang L.; Kan H.; Huang H.","Zhang, Liang (56002573200); Kan, Haibin (7101602965); Huang, Honglan (57709802900)","56002573200; 7101602965; 57709802900","Patient-centered cross-enterprise document sharing and dynamic consent framework using consortium blockchain and ciphertext-policy attribute-based encryption","2022","ACM International Conference Proceeding Series","","","","58","66","8","2","10.1145/3528416.3530228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130706226&doi=10.1145%2f3528416.3530228&partnerID=40&md5=959622f44b620335c769b010a80f8dd4","Patient-centered healthcare data sharing and data usage consent are gaining popularity. Cross-enterprise document sharing (XDS) is the crucial system of sharing personalized healthcare data. Furthermore, dynamic consent is vital to the XDS system, because it respects people's autonomy and achieves recognition of data sovereignty. Because of its transparency, blockchain is a powerful system for managing storage and computing without a trusted third party. Besides, ciphertext-policy attribute-based encryption (CP-ABE) extends public-key encryption by implying access control policies in ciphertexts, making it suitable for protecting the privacy of individual healthcare data in versatile cases. Particularly, we use hospital name, ""date""and ""department""as attribute strings in the access control policies. Consequently, based on consortium blockchain and CP-ABE, we propose a patient-centered XDS and a dynamic consent framework. Compared with previous related literature, we make the proposed framework consistent with current practices and achieve favorable criteria, such as data confidentiality, data recoverability and time-aware ciphertext. Further, we conduct comprehensive experiments to show the feasibility and practicality. © 2022 ACM.","consortium blockchain; CP-ABE; cross-enterprise document sharing; data sovereignty; dynamic consent","Access control; Digital storage; Health care; Public key cryptography; Access control policies; Block-chain; Ciphertext-policy attribute-based encryptions; Ciphertexts; Consortium blockchain; Cross-enterprise document sharing; Data sovereignty; Document sharing; Dynamic consents; Patient-centered healthcare; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85130706226"
"Konashevych O.; Khovayko O.","Konashevych, Oleksii (57195490954); Khovayko, Oleg (57217077655)","57195490954; 57217077655","Randpay: The technology for blockchain micropayments and transactions which require recipient's consent","2020","Computers and Security","96","","101892","","","","4","10.1016/j.cose.2020.101892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086077024&doi=10.1016%2fj.cose.2020.101892&partnerID=40&md5=a9ddcf8a8de6d25d6712fb7a5b540e0c","Randpay is a technology developed in Emercoin for blockchain micropayments that can be more effective in some scenarios than the Lightning Network, as seen in the paper. The protocol is based on the concept of Ronald L. Rivest published in the paper ‘Electronic Lottery Tickets as Micropayments’ (1997). The “lottery ticket” was designed for centralized systems where a trusted third party is required to provide payments, and in some scenarios, is also a lottery facilitator. The existing blockchain protocol cannot accommodate peer-to-peer “lottery” micropayments at least, without creating payment channels. Therefore, the implementation requires the development of an upgrade to the blockchain core. In the result, RandpayUTXO was introduced – an infinitely spendable zero output that requires the payee's signature to be published in the blockchain. Randpay is considered to be the first blockchain protocol to require the payee to sign the transaction by their private key. This is a significant feature to improve, not only microtransactions but also extend the use of the blockchain for legal deeds that require a payee's consent to be recognized in legal applications. The second important innovation of this research is the implementation of Blum's ‘coin flipping by telephone’ problem to design a ‘lottery ticket’ that does not require any third party to facilitate the lottery. The paper offers an analysis of the mathematical model, and proof of how ‘lottery’ can be beneficial, an API description is also added. There is also an attack analysis and an overview of existing solutions. © 2020 Elsevier Ltd","Blockchain; Cryptocurrency; Electronic Lottery Tickets; Emercoin; Micropayments; Randpay","Computer science; Security of data; Attack analysis; Centralized systems; Micropayments; Peer to peer; Private key; Third parties; Trusted third parties; Zero-output; Blockchain","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85086077024"
"Rivadeneira J.E.; Jiménez M.B.; Marculescu R.; Rodrigues A.; Boavida F.; Silva J.S.","Rivadeneira, Jorge Eduardo (57219774696); Jiménez, María B. (57304486700); Marculescu, Radu (35555100900); Rodrigues, André (56438642200); Boavida, Fernando (6701790938); Silva, Jorge Sá (57674601800)","57219774696; 57304486700; 35555100900; 56438642200; 6701790938; 57674601800","A Blockchain-Based Privacy-Preserving Model for Consent and Transparency in Human-Centered Internet of Things","2023","ACM International Conference Proceeding Series","","","","301","314","13","1","10.1145/3576842.3582379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159643461&doi=10.1145%2f3576842.3582379&partnerID=40&md5=bfb3fffc59a039afbee1c108892738b9","The inclusion of human-related aspects in the Internet of Things paradigm leads to the development of models and solutions that address several challenges of our society. The adoption of these novel approaches is expanding rapidly on the road to what is now termed Society 5.0. However, leaving aside all the potential benefits that come from the interaction with these novel systems, an increasing number of people are concerned with the amount of data these systems can collect and share with data requesters. Several legal frameworks call for the adoption of practices regarding data protection and pushing for data control by the data owners. Unfortunately, most human-centric IoT-based systems lack mechanisms for managing resources and data in the user domain. Moreover, these tasks are typically delegated to a central entity; this necessarily implies a relationship of trust and can lead to problems related to transparency. To cope with these issues in this paper we present a privacy-preserving model that leverages the intrinsic features of the blockchain technology for consent management and transparency in Human-Centered Internet of Things environments. To show the feasibility of our approach, the proposed model is implemented, deployed in a test environment, and assessed using realistic scenarios.  © 2023 Owner/Author.","blockchain; consent; human-centered; internet of things; privacy; transparency","Blockchain; Internet of things; Privacy-preserving techniques; Block-chain; Consent; Data control; Human-centered; Human-centric; Legal frameworks; Number of peoples; Potential benefits; Privacy; Privacy preserving; Transparency","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159643461"
