Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2271,"G Zyskind, O Nathan",Decentralizing privacy: Using blockchain to protect personal data,2015,2015 IEEE Security and Privacy …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7163223/,"https://scholar.google.com/scholar?cites=18264936158884246201&as_sdt=2005&sciodt=0,5&hl=en",17,2022-05-23 9:55:50,,,,,,,,,2271,324.43,1136,2,7,"… blockchain and offblockchain storage to construct a personal data management platform focused on privacy. 2) … Note that the same system could be used for other dataprivacy concerns, …",http://homepage.cs.uiowa.edu/~ghosh/blockchain.pdf,"https://scholar.google.com/scholar?q=related:ubJ7K6oWev0J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
964,"X Yue, H Wang, D Jin, M Li, W Jiang",Healthcare data gateways: found healthcare intelligence on blockchain with novel privacy risk control,2016,Journal of medical systems,Springer,https://link.springer.com/article/10.1007/s10916-016-0574-6,"https://scholar.google.com/scholar?cites=18383530533497336246&as_sdt=2005&sciodt=0,5&hl=en",51,2022-05-23 9:55:50,,10.1007/s10916-016-0574-6,,,,,,,964,160.67,193,5,6,"… Data Gateway (HGD)) architecture based on blockchain to enable patient to own, control and share their own data easily and securely without violating privacy, … patient data private. Our …",,"https://scholar.google.com/scholar?q=related:tvGnvp5rH_8J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
615,"X Liang, S Shetty, D Tosh, C Kamhoua, ...",Provchain: A blockchain-based data provenance architecture in cloud environment with enhanced privacy and availability,2017,2017 17th IEEE/ACM …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7973733/,"https://scholar.google.com/scholar?cites=223913753278723420&as_sdt=2005&sciodt=0,5&hl=en",48,2022-05-23 9:55:50,,,,,,,,,615,123,123,5,5,"… and privacy. In this paper, we propose a decentralized and trusted cloud data provenance architecture using blockchain … In this paper, we present ProvChain, a blockchain based data …",https://www.researchgate.net/profile/Sachin-Shetty/publication/317182541_ProvChain_A_Blockchain-Based_Data_Provenance_Architecture_in_Cloud_Environment_with_Enhanced_Privacy_and_Availability/links/5a832cd7aca272d6501c3a6f/ProvChain-A-Blockchain-Based-Data-Provenance-Architecture-in-Cloud-Environment-with-Enhanced-Privacy-and-Availability.pdf,"https://scholar.google.com/scholar?q=related:XLWATF-AGwMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
564,"C Esposito, A De Santis, G Tortora, ...",Blockchain: A panacea for healthcare cloud-based data security and privacy?,2018,IEEE Cloud …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8327543/,"https://scholar.google.com/scholar?cites=131739248625924619&as_sdt=2005&sciodt=0,5&hl=en",22,2022-05-23 9:55:50,,,,,,,,,564,141,141,4,4,"… of off-chain storage of data, where data is kept outside of blockchain in a conventional or a … data are stored in the blockchain. This is said to be the best of both worlds, as healthcare data …",https://fardapaper.ir/mohavaha/uploads/2019/03/Fardapaper-Blockchain-A-Panacea-for-Healthcare-Cloud-Based-Data-Security-and-Privacy.pdf,"https://scholar.google.com/scholar?q=related:CzpTDSYI1AEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
361,"Y Lu, X Huang, Y Dai, S Maharjan, ...",Blockchain and federated learning for privacy-preserved data sharing in industrial IoT,2019,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8843900/,"https://scholar.google.com/scholar?cites=10207893929922335636&as_sdt=2005&sciodt=0,5&hl=en",39,2022-05-23 9:55:50,,,,,,,,,361,120.33,72,5,3,"… 3) We integrate differential privacy into federated learning to further protect data privacy. We also evaluate the effectiveness of our proposed model with benchmark, open real-world …",,"https://scholar.google.com/scholar?q=related:lBPjDXK5qY0J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
312,"A Zhang, X Lin",Towards secure and privacy-preserving data sharing in e-health systems via consortium blockchain,2018,Journal of medical systems,Springer,https://link.springer.com/article/10.1007/s10916-018-0995-5,"https://scholar.google.com/scholar?cites=10862365837131060857&as_sdt=2005&sciodt=0,5&hl=en",55,2022-05-23 9:55:50,,10.1007/s10916-018-0995-5,,,,,,,312,78,156,2,4,… We propose a framework for blockchain based PHI sharing with security and privacy preservation for diagnosis improvements in e-Health system. Two blockchains are introduced. The …,,"https://scholar.google.com/scholar?q=related:eRaJdi3gvpYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
223,"A Al Omar, MS Rahman, A Basu, S Kiyomoto",Medibchain: A blockchain based privacy preserving platform for healthcare data,2017,"… , privacy and anonymity in …",Springer,https://link.springer.com/chapter/10.1007/978-3-319-72395-2_49,"https://scholar.google.com/scholar?cites=16125138873765542631&as_sdt=2005&sciodt=0,5&hl=en",46,2022-05-23 9:55:50,,10.1007/978-3-319-72395-2_49,,,,,,,223,44.6,56,4,5,… centric healthcare data management system by using Blockchain as storage to attain privacy. Pseudonymity is ensured by using the cryptographic functions to protect patient’s data. …,https://www.researchgate.net/profile/Abdullah-Omar-11/publication/321674033_MediBchain_A_Blockchain_Based_Privacy_Preserving_Platform_for_Healthcare_Data/links/5c860073458515831f9ab07a/MediBchain-A-Blockchain-Based-Privacy-Preserving-Platform-for-Healthcare-Data.pdf,"https://scholar.google.com/scholar?q=related:5zqj_F4AyN8J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
222,"M Shen, X Tang, L Zhu, X Du, ...",Privacy-preserving support vector machine training over blockchain-based encrypted IoT data in smart cities,2019,IEEE Internet of Things …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8653362/,"https://scholar.google.com/scholar?cites=5595561178345225434&as_sdt=2005&sciodt=0,5&hl=en",32,2022-05-23 9:55:50,,,,,,,,,222,74,44,5,3,"… secureSVM, which is a privacy-preserving SVM training scheme over blockchain-based … IoT data. We utilize the blockchain techniques to build a secure and reliable data sharing …",,"https://scholar.google.com/scholar?q=related:2rw7wj5tp00J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
209,"A Al Omar, MZA Bhuiyan, A Basu, S Kiyomoto, ...",Privacy-friendly platform for healthcare data in cloud based on blockchain environment,2019,Future generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X18314201,"https://scholar.google.com/scholar?cites=17251830951943891028&as_sdt=2005&sciodt=0,5&hl=en",34,2022-05-23 9:55:50,,,,,,,,,209,69.67,42,5,3,"… overall privacy of patient centric systems. In this paper, we present a patient centric … data management system using blockchain technology as storage which helps to attain privacy…",https://e-tarjome.com/storage/panel/fileuploads/2019-04-14/1555240607_E12014-e-tarjome.pdf,"https://scholar.google.com/scholar?q=related:VGi0v9jQau8J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
144,"J Xu, K Xue, S Li, H Tian, J Hong, ...",Healthchain: A blockchain-based privacy preserving scheme for large-scale health data,2019,IEEE Internet of Things …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8738810/,"https://scholar.google.com/scholar?cites=17565528670092475435&as_sdt=2005&sciodt=0,5&hl=en",23,2022-05-23 9:55:50,,,,,,,,,144,48,24,6,3,"… lose control of their health data, which can easily result in privacy leakage and single-point … health data privacy preserving scheme based on blockchain technology, where health data …",http://staff.ustc.edu.cn/~kpxue/paper/IoT-J-Healthchain-2019.10.pdf,"https://scholar.google.com/scholar?q=related:KzzNYEJLxfMJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5"
