Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"GI Navaroj, EG Julie, ...","Adaptive practical Byzantine fault tolerance consensus algorithm in permission blockchain network",2022,"International Journal of …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJWGS.2022.119273","https://scholar.google.com/scholar?cites=4709188550499203907&as_sdt=2005&sciodt=2007&hl=en",23,"2022-06-21 18:11:03","","10.1504/IJWGS.2022.119273","","",,,,,3,3.00,1,3,1,"… Blockchain focuses on double-spending and distributed consensus. However, blockchain … This paper proposes an adaptive practical Byzantine fault tolerance algorithm in permission …","","https://scholar.google.com/scholar?q=related:Q3vXTAlmWkEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"A Nigam, A Behl, V Pereira, S Sangal","Impulse purchases during emergency situations: exploring permission marketing and the role of blockchain",2022,"Industrial Management & Data …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/IMDS-12-2021-0799/full/html","",31,"2022-06-21 18:11:03","","10.1108/IMDS-12-2021-0799","","",,,,,0,0.00,0,4,1,"… This paper further explores how digital transformations like the use of blockchain technology can aid offline/omnichannel retailers in reviving sales via permission marketing for impulse …","","https://scholar.google.com/scholar?q=related:KcWrGRT6IBwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"M Alhajri, A Salehi Shahraki, C Rudolph","Privacy of Fitness Applications and Consent Management in Blockchain",2022,"… Computer Science Week …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3511616.3513100","",38,"2022-06-21 18:11:03","","10.1145/3511616.3513100","","",,,,,0,0.00,0,3,1,"… these consent-management privacy concerns. We propose a blockchainbased consent … and legally compliant system that manages user consent dynamically around the sharing, collect…","https://dl.acm.org/doi/pdf/10.1145/3511616.3513100","https://scholar.google.com/scholar?q=related:2t5mJ8bkMJkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"M Alhajri, C Rudolph, AS Shahraki","A Blockchain-Based Consent Mechanism for Access to Fitness Data in the Healthcare Context",2022,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9721062/","",43,"2022-06-21 18:11:03","","","","",,,,,0,0.00,0,3,1,"… study proposes a blockchain dynamic consent mechanism that uses a smart contract to preserve privacy in accessing fitness data, especially with regard to the management of consent. …","https://ieeexplore.ieee.org/iel7/6287639/9668973/09721062.pdf","https://scholar.google.com/scholar?q=related:4tXWLtohLC4J:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"C Hu, C Li, G Zhang, Z Lei, M Shah, Y Zhang, C Xing, ...","CrowdMed-II: a blockchain-based framework for efficient consent management in health data sharing",2022,"World Wide Web","Springer","https://link.springer.com/article/10.1007/s11280-021-00923-1","",45,"2022-06-21 18:11:03","HTML","10.1007/s11280-021-00923-1","","",,,,,0,0.00,0,8,1,"… Next, we describe the use of blockchain in health data sharing and some blockchain-based systems that others have proposed. Last, we introduce blockchain technologies and smart …","https://link.springer.com/article/10.1007/s11280-021-00923-1","https://scholar.google.com/scholar?q=related:3qPDJg4TSxUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"S Manimaran, VN Sastry, NP Gopalan","BPLMSBT: Blockchain-based Permission List for Mitigating the Sensor-based Threats on Smartphones",2022,"IEEE Sensors Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9759341/?casa_token=tDrqhK-hnC8AAAAA:8WS-0DLKKAZbsGHerMd8FTLrS6UT7jbgAcaTyEdFrJtpqCRkjpE63PAOPqycETonoy5AMnB9I8g","",46,"2022-06-21 18:11:03","","","","",,,,,0,0.00,0,3,1,"… Blockchain-based permission list for mitigating smartphone sensor-based threats by allowing benign users to access sensors through various channels. The permission list … Blockchain …","https://ieeexplore.ieee.org/iel7/7361/4427201/09759341.pdf?casa_token=TmPkXpdrW7oAAAAA:iCRqRY-dVTiQNslUrdfeptbq3DOXcm3UHOOZ0HLZssj2JGNLbkjBvAQbiCNxG968TKhQkEs_KBc","https://scholar.google.com/scholar?q=related:PiruZQsyEnsJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
1,"KY Huh, SJ Moon, S Jeong, MJ Kim, ...","Evaluation of a blockchain‐based dynamic consent platform (METORY) in a decentralized and multicenter clinical trial using virtual drugs",2022,"Clinical and …","Wiley Online Library","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1111/cts.13246","https://scholar.google.com/scholar?cites=5249545194839456047&as_sdt=2005&sciodt=2007&hl=en",47,"2022-06-21 18:11:03","","10.1111/cts.13246","","",,,,,1,1.00,0,5,1,"… Overall study completion rates, proportion of consent, and … and the overall proportion of consent to each protocol amendment … evaluated a blockchain-based dynamic consent platform in …","https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1111/cts.13246","https://scholar.google.com/scholar?q=related:L7nDmooh2kgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"L Zhang, Y Zou, MH Yousuf, W Wang, ...","BDSS: Blockchain-based Data Sharing Scheme With Fine-grained Access Control And Permission Revocation In Medical Environment.",2022,"… on Internet & …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19767277&AN=157334946&h=L1gIQAOUXhpniichDzqJP4CRrU2uNNO7%2FvaIqPV1fVxfvROfAS9A636R5zY7MXojW2dGQpx4jFM93K7YvTfDOg%3D%3D&crl=c&casa_token=Jlzg-3UuLFIAAAAA:0w0AOzYt0vn2az23X-WTXXEdKwsu9VQPz2U_S5T9yIcvQT4evcLZp3-lzvfPkfdb0siq1Td6d2crq9Y","",58,"2022-06-21 18:11:03","","","","",,,,,0,0.00,0,5,1,"… blockchain-based data sharing scheme (BDSS) with fine-grained access control and permission … In addition, we design a mechanism for EMR permission grant and revocation so that …","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19767277&AN=157334946&h=L1gIQAOUXhpniichDzqJP4CRrU2uNNO7%2FvaIqPV1fVxfvROfAS9A636R5zY7MXojW2dGQpx4jFM93K7YvTfDOg%3D%3D&crl=f&casa_token=2EDEg1Ktz1oAAAAA:nKFf6dC6mvUHJwN66E8pyTmq7TkdA5B625wkDXbJrpksRccJkg5zg1gu3TgFC5wfZWwDX04GW4r7H0k",""
0,"L Zhang, H Kan, H Huang","Patient-centered cross-enterprise document sharing and dynamic consent framework using consortium blockchain and ciphertext-policy attribute-based encryption",2022,"Proceedings of the 19th ACM International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3528416.3530228?casa_token=lVz9SXnqjAsAAAAA:Bbj3QowTTNyv0kMbO_jDqpsHDGpMlBOC5Reg4TlwzaHEsHSqSgmRXrFvMO28iiCTr7_hIYq9VvQgTg","",64,"2022-06-21 18:11:03","","10.1145/3528416.3530228","","",,,,,0,0.00,0,3,1,"… Because of its transparency, blockchain is a powerful system for managing storage and … consortium blockchain and CP-ABE, we propose a patient-centered XDS and a dynamic consent …","https://dl.acm.org/doi/pdf/10.1145/3528416.3530228?casa_token=3163Ef1apqMAAAAA:nkfyVzj0k86PhpMUSYcLn3d7pUW4JmpiqEEsQq1ujOnQqClW-ptjnL0Yzos_GG3hKsFX3boE6HK5-A","https://scholar.google.com/scholar?q=related:6_OE7lb6RNkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
0,"D Miltiadou, S Pitsios, S Kasdaglis, ...","Leveraging Management of Customers' Consent Exploiting the Benefits of Blockchain Technology Towards Secure Data Sharing",2022,"Big Data and Artificial …","library.oapen.org","https://library.oapen.org/bitstream/handle/20.500.12657/54429/978-3-030-94590-9.pdf?sequence=1#page=144","",66,"2022-06-21 18:11:03","PDF","","","",,,,,0,0.00,0,4,1,"… several consent management solutions which are based on the blockchain technology and … A domainspecific solution is proposed with a blockchain-based data sharing consent model …","https://library.oapen.org/bitstream/handle/20.500.12657/54429/978-3-030-94590-9.pdf?sequence=1#page=144","https://scholar.google.com/scholar?q=related:pRaPA0pKSJcJ:scholar.google.com/&scioq=intitle:blockchain+intitle:consent%7Cintitle:permission&hl=en&as_sdt=2007"
