Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"N.R. Pradhan","A Flexible Permission Ascription (FPA)-Based Blockchain Framework for Peer-to-Peer Energy Trading with Performance Evaluation",2022,"IEEE Transactions on Industrial Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110883347&origin=inward",27,"2022-06-21 18:20:00","Article","10.1109/TII.2021.3096832","1551-3203","https://api.elsevier.com/content/abstract/scopus_id/85110883347",18,4,2465,2475,4,4.00,4,1,1,"","",""
1,"G.I. Navaroj","Adaptive practical Byzantine fault tolerance consensus algorithm in permission blockchain network",2022,"International Journal of Web and Grid Services","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120981922&origin=inward",36,"2022-06-21 18:20:00","Article","10.1504/IJWGS.2022.119273","1741-1106","https://api.elsevier.com/content/abstract/scopus_id/85120981922",18,1,62,82,1,1.00,1,1,1,"","",""
0,"J. Heo","How to divide a permission token in the delegation process of blockchain-based access control for IoT",2022,"SysCon 2022 - 16th Annual IEEE International Systems Conference, Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130790315&origin=inward",44,"2022-06-21 18:20:00","Conference Paper","10.1109/SysCon53536.2022.9773848","","https://api.elsevier.com/content/abstract/scopus_id/85130790315",,,,,0,0.00,0,1,1,"","",""
0,"A. Nigam","Impulse purchases during emergency situations: exploring permission marketing and the role of blockchain",2022,"Industrial Management and Data Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130067686&origin=inward",45,"2022-06-21 18:20:00","Article","10.1108/IMDS-12-2021-0799","0263-5577","https://api.elsevier.com/content/abstract/scopus_id/85130067686",,,,,0,0.00,0,1,1,"","",""
0,"S. Manimaran","BPLMSBT: Blockchain-Based Permission List for Mitigating the Sensor-Based Threats on Smartphones",2022,"IEEE Sensors Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128673715&origin=inward",46,"2022-06-21 18:20:00","Article","10.1109/JSEN.2022.3167893","1530-437X","https://api.elsevier.com/content/abstract/scopus_id/85128673715",22,11,11075,11087,0,0.00,0,1,1,"","",""
0,"M. Alhajri","Privacy of Fitness Applications and Consent Management in Blockchain",2022,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127438822&origin=inward",48,"2022-06-21 18:20:00","Conference Paper","10.1145/3511616.3513100","","https://api.elsevier.com/content/abstract/scopus_id/85127438822",,,65,73,0,0.00,0,1,1,"","",""
0,"M. Alhajri","A Blockchain-Based Consent Mechanism for Access to Fitness Data in the Healthcare Context",2022,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125704976&origin=inward",50,"2022-06-21 18:20:00","Article","10.1109/ACCESS.2022.3154106","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85125704976",10,,22960,22979,0,0.00,0,1,1,"","",""
0,"K.Y. Huh","Evaluation of a blockchain-based dynamic consent platform (METORY) in a decentralized and multicenter clinical trial using virtual drugs",2022,"Clinical and Translational Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124738822&origin=inward",51,"2022-06-21 18:20:00","Article","10.1111/cts.13246","1752-8054","https://api.elsevier.com/content/abstract/scopus_id/85124738822",15,5,1257,1268,0,0.00,0,1,1,"","",""
0,"C. Hu","CrowdMed-II: a blockchain-based framework for efficient consent management in health data sharing",2022,"World Wide Web","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122029942&origin=inward",53,"2022-06-21 18:20:00","Article","10.1007/s11280-021-00923-1","1386-145X","https://api.elsevier.com/content/abstract/scopus_id/85122029942",25,3,1489,1515,0,0.00,0,1,1,"","",""
0,"M. Goint","Establish Trust for Sharing Data for Smart Territories Thanks to Consents Notarized by Blockchain",2022,"Lecture Notes in Networks and Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115263025&origin=inward",57,"2022-06-21 18:20:00","Conference Paper","10.1007/978-3-030-86162-9_26","2367-3370","https://api.elsevier.com/content/abstract/scopus_id/85115263025",320,,261,271,0,0.00,0,1,1,"","",""
9,"P.V. Kakarlapudi","A systematic review of blockchain for consent management",2021,"Healthcare (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104444976&origin=inward",20,"2022-06-21 18:20:00","Review","10.3390/healthcare9020137","2227-9032","https://api.elsevier.com/content/abstract/scopus_id/85104444976",9,2,,,9,9.00,9,1,1,"","",""
7,"S. Porsdam Mann","Blockchain, consent and prosent for medical research",2021,"Journal of Medical Ethics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084684439&origin=inward",21,"2022-06-21 18:20:00","Article","10.1136/medethics-2019-105963","0306-6800","https://api.elsevier.com/content/abstract/scopus_id/85084684439",47,4,244,250,7,7.00,7,1,1,"","",""
2,"T.M. Kim","Dynamichain: Development of medical blockchain ecosystem based on dynamic consent system",2021,"Applied Sciences (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100897568&origin=inward",32,"2022-06-21 18:20:00","Review","10.3390/app11041612","2076-3417","https://api.elsevier.com/content/abstract/scopus_id/85100897568",11,4,1,20,2,2.00,2,1,1,"","",""
1,"P. Banerjee","Blockchain Enabled Data Trading with User Consent",2021,"2021 International Conference on COMmunication Systems and NETworkS, COMSNETS 2021","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102055067&origin=inward",37,"2022-06-21 18:20:00","Conference Paper","10.1109/COMSNETS51098.2021.9352817","","https://api.elsevier.com/content/abstract/scopus_id/85102055067",,,263,271,1,1.00,1,1,1,"","",""
1,"I. Mukhopadhyay","Blockchain-Based Framework for Managing Customer Consent in Open Banking",2021,"Lecture Notes in Networks and Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096901946&origin=inward",38,"2022-06-21 18:20:00","Book Chapter","10.1007/978-981-15-9317-8_3","2367-3370","https://api.elsevier.com/content/abstract/scopus_id/85096901946",163,,77,90,1,1.00,1,1,1,"","",""
0,"Z. Xu","AC2M: An automated consent management model for blockchain financial services platform",2021,"Proceedings - 2021 IEEE International Conference on Smart Data Services, SMDS 2021","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125843795&origin=inward",49,"2022-06-21 18:20:00","Conference Paper","10.1109/SMDS53860.2021.00015","","https://api.elsevier.com/content/abstract/scopus_id/85125843795",,,33,41,0,0.00,0,1,1,"","",""
0,"H. Kim","Design and Implementation of a Personal Health Record Platform Based on Patient-consent Blockchain Technology",2021,"KSII Transactions on Internet and Information Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123638269&origin=inward",52,"2022-06-21 18:20:00","Article","10.3837/TIIS.2021.12.008","1976-7277","https://api.elsevier.com/content/abstract/scopus_id/85123638269",15,12,4400,4419,0,0.00,0,1,1,"","",""
0,"Bhawana","Permission Blockchain Network based Central Bank Digital Currency",2021,"2021 IEEE 4th International Conference on Computing, Power and Communication Technologies, GUCON 2021","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119091995&origin=inward",54,"2022-06-21 18:20:00","Conference Paper","10.1109/GUCON50781.2021.9574020","","https://api.elsevier.com/content/abstract/scopus_id/85119091995",,,,,0,0.00,0,1,1,"","",""
0,"F. Albalwy","A Blockchain-based dynamic consent architecture to support clinical genomic data sharing (ConsentChain): Proof-of-concept study",2021,"JMIR Medical Informatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118955327&origin=inward",55,"2022-06-21 18:20:00","Article","10.2196/27816","2291-9694","https://api.elsevier.com/content/abstract/scopus_id/85118955327",9,11,,,0,0.00,0,1,1,"","",""
0,"H. Grodzicka","Security and Scalability in Private Permissionless Blockchain: Problems and Solutions Leading to Creating Consent-as-a-Service (CaaS) Deployment",2021,"Communications in Computer and Information Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116882243&origin=inward",56,"2022-06-21 18:20:00","Conference Paper","10.1007/978-3-030-88113-9_22","1865-0929","https://api.elsevier.com/content/abstract/scopus_id/85116882243",1463,,278,289,0,0.00,0,1,1,"","",""
0,"M. Calani","Exploiting the blockchain to guarantee GDPR compliance while consents evolve under data owners' control",2021,"CEUR Workshop Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114927715&origin=inward",58,"2022-06-21 18:20:00","Conference Paper","","1613-0073","https://api.elsevier.com/content/abstract/scopus_id/85114927715",2940,,331,343,0,0.00,0,1,1,"","",""
0,"Q. Xv","A Novel Blockchain-Based Revocable Permission Management on CP-ABE Scheme",2021,"Communications in Computer and Information Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112021876&origin=inward",59,"2022-06-21 18:20:00","Conference Paper","10.1007/978-3-030-78621-2_54","1865-0929","https://api.elsevier.com/content/abstract/scopus_id/85112021876",1424,,650,663,0,0.00,0,1,1,"","",""
0,"S. Gajek","Trustless, Censorship-Resilient and Scalable Votings in the Permission-Based Blockchain Model",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103503152&origin=inward",60,"2022-06-21 18:20:00","Conference Paper","10.1007/978-3-030-71593-9_5","0302-9743","https://api.elsevier.com/content/abstract/scopus_id/85103503152",12480,,54,65,0,0.00,0,1,1,"","",""
23,"V. Jaiman","A Consent Model for Blockchain-Based Health Data Sharing Platforms",2020,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090267095&origin=inward",7,"2022-06-21 18:20:00","Article","10.1109/ACCESS.2020.3014565","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85090267095",8,,143734,143745,23,11.50,23,1,2,"","",""
21,"G. Albanese","Dynamic consent management for clinical trials via private blockchain technology",2020,"Journal of Ambient Intelligence and Humanized Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079720599&origin=inward",9,"2022-06-21 18:20:00","Article","10.1007/s12652-020-01761-1","1868-5137","https://api.elsevier.com/content/abstract/scopus_id/85079720599",11,11,4909,4926,21,10.50,21,1,2,"","",""
17,"N. Mamo","Dwarna: a blockchain solution for dynamic consent in biobanking",2020,"European Journal of Human Genetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076891629&origin=inward",14,"2022-06-21 18:20:00","Article","10.1038/s41431-019-0560-9","1018-4813","https://api.elsevier.com/content/abstract/scopus_id/85076891629",28,5,609,626,17,8.50,17,1,2,"","",""
10,"P.E. Velmovitsky","A blockchain-based consent platform for active assisted living: Modeling study and conceptual framework",2020,"Journal of Medical Internet Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097311494&origin=inward",19,"2022-06-21 18:20:00","Article","10.2196/20832","1438-8871","https://api.elsevier.com/content/abstract/scopus_id/85097311494",22,12,,,10,5.00,10,1,2,"","",""
6,"N.A. Asad","Permission-based blockchain with proof of authority for secured healthcare data sharing",2020,"2020 2nd International Conference on Advanced Information and Communication Technology, ICAICT 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100960463&origin=inward",22,"2022-06-21 18:20:00","Conference Paper","10.1109/ICAICT51780.2020.9333488","","https://api.elsevier.com/content/abstract/scopus_id/85100960463",,,35,40,6,3.00,6,1,2,"","",""
5,"D. Tith","Patient consent management by a purpose-based consent model for electronic health record based on blockchain technology",2020,"Healthcare Informatics Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097168677&origin=inward",25,"2022-06-21 18:20:00","Article","10.4258/hir.2020.26.4.265","2093-3681","https://api.elsevier.com/content/abstract/scopus_id/85097168677",26,4,265,273,5,2.50,5,1,2,"","",""
5,"J. Ahmed","GDPR compliant consent driven data protection in online social networks: A blockchain-based approach",2020,"Proceedings - 3rd International Conference on Information and Computer Technologies, ICICT 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085556662&origin=inward",26,"2022-06-21 18:20:00","Conference Paper","10.1109/ICICT50521.2020.00054","","https://api.elsevier.com/content/abstract/scopus_id/85085556662",,,307,312,5,2.50,5,1,2,"","",""
3,"J. Shi","A Mechanism to Resolve the Unauthorized Access Vulnerability Caused by Permission Delegation in Blockchain-Based Access Control",2020,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090950440&origin=inward",29,"2022-06-21 18:20:00","Article","10.1109/ACCESS.2020.3018783","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85090950440",8,,156027,156042,3,1.50,3,1,2,"","",""
3,"G. Despotou","Evaluation of patient perception towards dynamic health data sharing using blockchain based digital consent with the Dovetail digital consent application: A cross sectional exploratory study",2020,"Digital Health","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084653593&origin=inward",30,"2022-06-21 18:20:00","Article","10.1177/2055207620924949","2055-2076","https://api.elsevier.com/content/abstract/scopus_id/85084653593",6,,,,3,1.50,3,1,2,"","",""
2,"C.C. Agbo","Design and Implementation of a Blockchain-Based E-Health Consent Management Framework",2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098878992&origin=inward",33,"2022-06-21 18:20:00","Conference Paper","10.1109/SMC42975.2020.9283203","1062-922X","https://api.elsevier.com/content/abstract/scopus_id/85098878992",2020,,812,817,2,1.00,2,1,2,"","",""
2,"J. Heiss","Put Your Money Where Your Mouth Is - Towards Blockchain-based Consent Violation Detection",2020,"IEEE International Conference on Blockchain and Cryptocurrency, ICBC 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091476290&origin=inward",34,"2022-06-21 18:20:00","Conference Paper","10.1109/ICBC48266.2020.9169455","","https://api.elsevier.com/content/abstract/scopus_id/85091476290",,,,,2,1.00,2,1,2,"","",""
2,"O. Konashevych","Randpay: The technology for blockchain micropayments and transactions which require recipient's consent",2020,"Computers and Security","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167404820301656","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086077024&origin=inward",35,"2022-06-21 18:20:00","Article","10.1016/j.cose.2020.101892","0167-4048","https://api.elsevier.com/content/abstract/scopus_id/85086077024",96,,,,2,1.00,2,1,2,"","",""
1,"A.C. Connelly","A Lightweight Permission-Based Blockchain for IoT Environments",2020,"2020 International Conference on UK-China Emerging Technologies, UCET 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85094319013&origin=inward",39,"2022-06-21 18:20:00","Conference Paper","10.1109/UCET51115.2020.9205385","","https://api.elsevier.com/content/abstract/scopus_id/85094319013",,,,,1,0.50,1,1,2,"","",""
1,"A. Suresh","A Hybrid Proof based Consensus Algorithm for Permission less Blockchain",2020,"Proceedings of the 2nd International Conference on Inventive Research in Computing Applications, ICIRCA 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092036957&origin=inward",40,"2022-06-21 18:20:00","Conference Paper","10.1109/ICIRCA48905.2020.9183109","","https://api.elsevier.com/content/abstract/scopus_id/85092036957",,,707,713,1,0.50,1,1,2,"","",""
1,"H.H. Jung","Blockchain-enabled Clinical Study Consent Management",2020,"Technology Innovation Management Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082082174&origin=inward",41,"2022-06-21 18:20:00","Article","10.22215/timreview/1325","1927-0321","https://api.elsevier.com/content/abstract/scopus_id/85082082174",10,2,14,24,1,0.50,1,1,2,"","",""
0,"M.H. Khalid","Proposing 2-tier Architecture for Permission-ed and Permission-less Blockchain Consensus Algorithms Based on Voting System",2020,"CITISIA 2020 - IEEE Conference on Innovative Technologies in Intelligent Systems and Industrial Applications, Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103029219&origin=inward",61,"2022-06-21 18:20:00","Conference Paper","10.1109/CITISIA50690.2020.9371832","","https://api.elsevier.com/content/abstract/scopus_id/85103029219",,,,,0,0.00,0,1,2,"","",""
0,"J. Shi","Permission token segmentation scheme based on blockchain access control",2020,"Proceedings - 2020 IEEE 19th International Conference on Trust, Security and Privacy in Computing and Communications, TrustCom 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101211737&origin=inward",62,"2022-06-21 18:20:00","Conference Paper","10.1109/TrustCom50675.2020.00267","","https://api.elsevier.com/content/abstract/scopus_id/85101211737",,,1956,1964,0,0.00,0,1,2,"","",""
0,"G. Sawant","Permission blockchain based smart contract utilizing biometric authentication as a service: A future trend",2020,"2020 International Conference on Convergence to Digital World - Quo Vadis, ICCDW 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100527641&origin=inward",63,"2022-06-21 18:20:00","Conference Paper","10.1109/ICCDW45521.2020.9318715","","https://api.elsevier.com/content/abstract/scopus_id/85100527641",,,,,0,0.00,0,1,2,"","",""
0,"A.R. Lee","Coded Dynamic Consent framework using blockchain for healthcare information exchange",2020,"Proceedings - 2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100338315&origin=inward",64,"2022-06-21 18:20:00","Conference Paper","10.1109/BIBM49941.2020.9313330","","https://api.elsevier.com/content/abstract/scopus_id/85100338315",,,1047,1050,0,0.00,0,1,2,"","",""
0,"M. Verdonck","Architecture and value analysis of a blockchain-based electronic health record permission management system",2020,"CEUR Workshop Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082392142&origin=inward",65,"2022-06-21 18:20:00","Conference Paper","","1613-0073","https://api.elsevier.com/content/abstract/scopus_id/85082392142",2574,,16,24,0,0.00,0,1,2,"","",""
0,"H.R. de Sousa","Blockchain based informed consent with reputation support",2020,"Advances in Intelligent Systems and Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068607648&origin=inward",67,"2022-06-21 18:20:00","Conference Paper","10.1007/978-3-030-23813-1_7","2194-5357","https://api.elsevier.com/content/abstract/scopus_id/85068607648",1010,,54,61,0,0.00,0,1,2,"","",""
45,"E.Y. Daraghmi","MedChain: A design of blockchain-based system for medical records access and permissions management",2019,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075631977&origin=inward",3,"2022-06-21 18:20:00","Article","10.1109/ACCESS.2019.2952942","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85075631977",7,,164595,164613,45,15.00,45,1,3,"","",""
37,"G. Ali","Blockchain based permission delegation and access control in Internet of Things (BACI)",2019,"Computers and Security","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167404819301208","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068480555&origin=inward",5,"2022-06-21 18:20:00","Article","10.1016/j.cose.2019.06.010","0167-4048","https://api.elsevier.com/content/abstract/scopus_id/85068480555",86,,318,334,37,12.33,37,1,3,"","",""
22,"T. Zhou","DLattice: A Permission-Less Blockchain Based on DPoS-BA-DAG Consensus for Data Tokenization",2019,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065336696&origin=inward",8,"2022-06-21 18:20:00","Article","10.1109/ACCESS.2019.2906637","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85065336696",7,,39273,39287,22,7.33,22,1,3,"","",""
20,"K. Rantos","ADvoCATE: A consent management platform for personal data processing in the IoT using blockchain technology",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062942221&origin=inward",11,"2022-06-21 18:20:00","Conference Paper","10.1007/978-3-030-12942-2_23","0302-9743","https://api.elsevier.com/content/abstract/scopus_id/85062942221",11359,,300,313,20,6.67,20,1,3,"","",""
12,"E.Y. Daraghmi","UniChain: A design of blockchain-based system for electronic academic records access and permissions management",2019,"Applied Sciences (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079642730&origin=inward",17,"2022-06-21 18:20:00","Article","10.3390/APP9224966","2076-3417","https://api.elsevier.com/content/abstract/scopus_id/85079642730",9,22,,,12,4.00,12,1,3,"","",""
