Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Source title,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID
577.0,"Y Lu, X Huang, Y Dai, S Maharjan…",Blockchain and federated learning for privacy-preserved data sharing in industrial IoT,2019.0,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8843900/,"https://scholar.google.com/scholar?cites=10207893929922335636&as_sdt=2005&sciodt=0,5&hl=en",17.0,2023-03-11 15:05:12,,,,,,,,,577.0,144.25,115.0,5.0,4.0,… 2) We propose a new blockchain empowered collaborative … 3) We integrate differential privacy into federated learning to … describe permissioned blockchain and federated learning for …,,"https://scholar.google.com/scholar?q=related:lBPjDXK5qY0J:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
211.0,"R Kumar, AA Khan, J Kumar, NA Golilarz…",Blockchain-federated-learning and deep learning models for covid-19 detection using ct imaging,2021.0,IEEE Sensors …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9420107/,"https://scholar.google.com/scholar?cites=18445118293653674338&as_sdt=2005&sciodt=0,5&hl=en",6.0,2023-03-11 15:05:12,,,,,,,,,211.0,105.5,42.0,5.0,2.0,… using blockchain technology with federated learning while … a blockchain-based federated learning framework to train and share a collaborative model. The purpose of federated learning …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8791443/,"https://scholar.google.com/scholar?q=related:YllJlVw5-v8J:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
313.0,"Y Lu, X Huang, K Zhang, S Maharjan…",Blockchain empowered asynchronous federated learning for secure data sharing in internet of vehicles,2020.0,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8998397/,"https://scholar.google.com/scholar?cites=2760482616979312145&as_sdt=2005&sciodt=0,5&hl=en",24.0,2023-03-11 15:05:12,,,,,,,,,313.0,104.33,63.0,5.0,3.0,"… Third, the delay due to federated learning … blockchain and federated learning into IoV for data sharing. We develop a hybrid blockchain - PermiDAG, and improve the federated learning …",,"https://scholar.google.com/scholar?q=related:EU6xgVA0TyYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
152.0,"DC Nguyen, M Ding, QV Pham…",Federated learning meets blockchain in edge computing: Opportunities and challenges,2021.0,IEEE Internet of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9403374/,"https://scholar.google.com/scholar?cites=6426897883738674763&as_sdt=2005&sciodt=0,5&hl=en",1.0,2023-03-11 15:05:12,,,,,,,,,152.0,76.0,38.0,4.0,2.0,"… In this context, federated learning (FL) has been proposed to … of FL implementation, blockchain as a ledger technology is … Particularly, the integration of FL and blockchain leads to a …",https://arxiv.org/pdf/2104.01776,"https://scholar.google.com/scholar?q=related:Sxb095LtMFkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
224.0,"Y Qu, L Gao, TH Luan, Y Xiang, S Yu…",Decentralized privacy using blockchain-enabled federated learning in fog computing,2020.0,IEEE Internet of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9019859/,"https://scholar.google.com/scholar?cites=4921564535806197621&as_sdt=2005&sciodt=0,5&hl=en",22.0,2023-03-11 15:05:12,,,,,,,,,224.0,74.67,37.0,6.0,3.0,"… novel blockchain-enabled federated learning (… blockchain-based global learning model, which is verified by miners. Built upon this, FL-Block enables the autonomous machine learning …",,"https://scholar.google.com/scholar?q=related:dX_jp97oTEQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
215.0,"SR Pokhrel, J Choi",Federated learning with blockchain for autonomous vehicles: Analysis and design challenges,2020.0,IEEE Transactions on Communications,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9079513/,"https://scholar.google.com/scholar?cites=4472376157037672332&as_sdt=2005&sciodt=0,5&hl=en",4.0,2023-03-11 15:05:12,,,,,,,,,215.0,71.67,108.0,2.0,3.0,… We propose and develop a novel and fully decentralized blockchain-based federated learning framework to ensure end-to-end trustworthiness and delay for the impending autonomous …,,"https://scholar.google.com/scholar?q=related:jDcoTmsSET4J:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
215.0,"Y Zhao, J Zhao, L Jiang, R Tan, D Niyato…",Privacy-preserving blockchain-based federated learning for IoT devices,2020.0,IEEE Internet of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9170559/,"https://scholar.google.com/scholar?cites=9975286875345654108&as_sdt=2005&sciodt=0,5&hl=en",13.0,2023-03-11 15:05:12,,,,,,,,,215.0,71.67,36.0,6.0,3.0,"… system, we design a federated learning (FL) system leveraging a reputation mechanism to assist home appliance manufacturers to train a machine learning model based on customers’ …",https://arxiv.org/pdf/1906.10893,"https://scholar.google.com/scholar?q=related:XBGY0Y9Wb4oJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
62.0,"C Ma, J Li, L Shi, M Ding, T Wang…",When federated learning meets blockchain: A new distributed learning paradigm,2022.0,IEEE Computational …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9833437/,"https://scholar.google.com/scholar?cites=7802471310494288633&as_sdt=2005&sciodt=0,5&hl=en",12.0,2023-03-11 15:05:12,,,,,,,,,62.0,62.0,10.0,6.0,1.0,"… at each client and aggregating learning models at a … blockchain-assisted decentralized FL framework is investigated, which can prevent malicious clients from poisoning the learning …",https://arxiv.org/pdf/2009.09338,"https://scholar.google.com/scholar?q=related:-UowUFHyR2wJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
184.0,"Y Li, C Chen, N Liu, H Huang, Z Zheng, Q Yan",A blockchain-based decentralized federated learning framework with committee consensus,2020.0,IEEE Network,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9293091/,"https://scholar.google.com/scholar?cites=17891514428127599254&as_sdt=2005&sciodt=0,5&hl=en",7.0,2023-03-11 15:05:12,,,,,,,,,184.0,61.33,31.0,6.0,3.0,"… federated learning framework based on blockchain, that is, a … is a Blockchain-based Federated Learning framework with … nodes perform FL via blockchain, which maintains the global …",https://arxiv.org/pdf/2004.00773,"https://scholar.google.com/scholar?q=related:llpSPpRtS_gJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
183.0,"Y Lu, X Huang, K Zhang, S Maharjan…",Low-latency federated learning and blockchain for edge association in digital twin empowered 6G networks,2020.0,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9170905/,"https://scholar.google.com/scholar?cites=14756213124076050390&as_sdt=2005&sciodt=0,5&hl=en",48.0,2023-03-11 15:05:12,,,,,,,,,183.0,61.0,37.0,5.0,3.0,"… the effective application of federated learning in IIoT. In this article, … propose a blockchain empowered federated learning frame… We exploit multiagent reinforcement learning to find an …",https://arxiv.org/pdf/2011.09902,"https://scholar.google.com/scholar?q=related:1peCkqeZyMwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:federated+intitle:learning&hl=en&as_sdt=0,5",,,,,,,,,
