Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Sun L., Wu J., Xu Y., Zhang Y.","A federated learning and blockchain framework for physiological signal classification based on continual learning",2023,"Information Sciences",,"10.1016/j.ins.2023.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148700252&doi=10.1016%2fj.ins.2023.02.003&partnerID=40&md5=f9342b55e55929080da8fd3ac81dfabb","A key challenge of physiological signal processing in the Internet of Medical Things is that physiological signals usually have dynamic distribution changes. Another challenge is that patients' data is vulnerable to disclosures. To address these problems, we propose a meta continual learning method, called MetaCL. MetaCL consists of a shared feature extractor, a knowledge base, a micro classifier module and a blockchain module. The shared feature extractor adopts a horizontal federated learning mechanism to prevent data leakage. The knowledge base is built and updated based on a Splite-based method to overcome catastrophic forgetting. The micro classifier module uses a mean-based model transfer method to adapt to the emergence of new classes. It integrates a Kullback-Leibler divergence regularization to the loss function to deal with fuzzy boundaries of classes. The blockchain module is designed based on the Alliance chain to protect the privacy of the classification results. Experiment results show that refinement classification performance of MetaCL is 98.35%, which outperforms the compared state-of-the-art works. The backward transfer under four increment scenarios is all within -2.6%. At last, a blockchain-based engineering application is presented to show that MetaCL can prevent privacy protection in the Internet of Medical Things (IoMT). © 2023 Elsevier Inc.","Blockchain; Continual learning; Federated learning; Physiological signal classification; Privacy protection","Data mining; Knowledge based systems; Learning systems; Physiology; Block-chain; Continual learning; Dynamic distribution; Feature extractor; Federated learning; Physiological signal classification; Physiological signal processing; Physiological signals; Privacy protection; Signal classification; Blockchain",Article,"Final","",Scopus,2-s2.0-85148700252
"Jiang T., Shen G., Guo C., Cui Y., Xie B.","BFLS: Blockchain and Federated Learning for sharing threat detection models as Cyber Threat Intelligence",2023,"Computer Networks",,"10.1016/j.comnet.2023.109604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147846208&doi=10.1016%2fj.comnet.2023.109604&partnerID=40&md5=b2ec765f3029008efe47ac8e38386d34","Recently, Cyber Threat Intelligence (CTI) sharing has become an important weapon for cyber defenders to mitigate the increasing number of cyber attacks in a proactive and collaborative manner. However, with the dramatic increase in the deployment of shared communications between organizations, data has been a major priority to detect threats in the CTI sharing platform. In the modern environment, a valuable asset is the user's threat data. Privacy policies are necessary to ensure the security of user data in the threat intelligence sharing community. Federated learning acts as a special machine learning technique for privacy preservation and offers to contextualize data in a CTI sharing platform. Therefore, this article proposes a new approach to threat intelligence sharing called BFLS (Blockchain and Federated Learning for sharing threat detection models as Cyber Threat Intelligence), where blockchain-based CTI sharing platforms are used for security and privacy. Federated learning technology is adopted for scalable machine learning applications, such as threat detection. Furthermore, users can obtain a well-trained threat detection model without sending personal data to the central server. Experimental results on the ISCX-IDS-2012 and CIC-DDoS-2019 datasets showed that BFLS can securely share CTI and has high accuracy in threat detection. The accuracies of BFLS are 98.92% and 98.56% on the two datasets, respectively. © 2023 Elsevier B.V.","Blockchain; Cyber Threat Intelligence; Federated learning; Threat detection","Cybersecurity; Data privacy; Machine learning; Network security; Block-chain; Cybe threat intelligence; Cyber threats; Cyber-attacks; Detection models; Federated learning; Intelligence sharing; Privacy policies; Sharing platforms; Threat detection; Blockchain",Article,"Final","",Scopus,2-s2.0-85147846208
"Ranathunga T., McGibney A., Rea S., Bharti S.","Blockchain-Based Decentralized Model Aggregation for Cross-Silo Federated Learning in Industry 4.0",2023,"IEEE Internet of Things Journal",,"10.1109/JIOT.2022.3218704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141626824&doi=10.1109%2fJIOT.2022.3218704&partnerID=40&md5=35a4d9ede3be74bae212abf3bc734a3d","Traditional federated learning (FL) adopts a client-server architecture where FL clients (e.g., IoT edge devices) train a common global model with the help of a centralized orchestrator (cloud server). However, current approaches are moving away from centralized orchestration toward a decentralized one in order to fully adapt FL for a cross-silo configuration with multiple organizations acting as clients. State-of-the-art decentralized FL mechanisms make at least one of the following assumptions: 1) clients are trusted organizations and cannot inject low-quality model updates for aggregation and 2) client local models can be shared with other clients or a third party for verification of low-quality updates. This article proposes a Blockchain-based decentralized framework for scenarios where participatory organizations are believed to be fully capable of injecting low-quality model updates as they are not willing to expose their local models to any other entity for verification purpose. The proposed decentralized FL framework adopts a novel hierarchical network of aggregators with the ability to punish/reward organizations in proportion to their local model quality updates. The framework is flexible and unlike state-of-the-art solutions, prevents a single entity from possessing the aggregated model in any FL round of training. The proposed framework is tested with respect to off-chain and on-chain performance in two Industry 4.0 use cases: 1) predictive maintenance and 2) product visual inspection. A comparative evaluation against the state-of-the-art reveals the proposed framework's utility in terms of minimizing model convergence time and latency while maximizing accuracy and throughput. © 2014 IEEE.","Blockchain; federated learning (FL); industry 4.0","Client server computer systems; Industry 4.0; Block-chain; Computational modelling; Decentralised; Federated learning; Fourth industrial revolution; Industrial revolutions; Low qualities; Predictive models; State of the art; Blockchain",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85141626824
"Wang H., Zhang X., Xia Y., Wu X.","An intelligent blockchain-based access control framework with federated learning for genome-wide association studies",2023,"Computer Standards and Interfaces",,"10.1016/j.csi.2022.103694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141271812&doi=10.1016%2fj.csi.2022.103694&partnerID=40&md5=dc4505158a5586fa5f8878e2f1d74dec","Genome-Wide Association Studies (GWAS) aim to find various variations in human disorders and have become one of the most commonly-used methods to find the pathogenesis and genetic mechanisms of complex diseases. However, the GWAS process needs to frequently search the genome-wide data, especially in the calculation process of multi-party participation. The statistical value calculation and interactive search of Single Nucleotide Polymorphisms (SNPs) and model training processes might easily disclose personal information. Therefore, to solve these problems, we propose a Blockchain-based access control Framework for GWAS with Federated Learning-BFGF. Specifically, before training local models, this framework implements Automated Quality Control (AQC) to guarantee the quality of training data. Design the authentication mechanism in blockchain to filter out users who are malicious attackers to protect the security of other users' information initially. To accelerate the speed of cloud model training and resist multiple attacks in federated learning, propose a periodic aggregation method combining differential privacy mechanisms. Finally, simulated experiments have shown that the BFGF framework can protect the security of genetic data and balance availability and accuracy. © 2022","Automated quality control; Blockchain; Differential privacy; Federated learning","Authentication; Blockchain; Genes; Learning systems; Automated quality control; Block-chain; Complex disease; Control framework; Differential privacies; Federated learning; Genetic mechanism; Genome-wide association studies; Human disorders; Model training; Quality control",Article,"Final","",Scopus,2-s2.0-85141271812
"Guo S., Zhang K., Gong B., Chen L., Ren Y., Qi F., Qiu X.","Sandbox Computing: A Data Privacy Trusted Sharing Paradigm Via Blockchain and Federated Learning",2023,"IEEE Transactions on Computers",,"10.1109/TC.2022.3180968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131735212&doi=10.1109%2fTC.2022.3180968&partnerID=40&md5=448dd34556462dd477f15987edd98ebe","As a new trusted data sharing pattern with privacy protection, the integration mechanism of blockchain and Federated Learning has attracted extensive attention. Generally, this mechanism uses blockchain technology to supervise the original data and calculation results, which ignores the supervision of the Federated Learning model and computing process. Therefore, we introduce the concepts of the sandbox and state channel to construct a new data privacy sharing paradigm via Blockchain and Federated Learning. Under this paradigm, we use state channel to connect Blockchain and Federated Learning. And state channel is used to create a 'trusted sandbox' to instantiate Federated Learning tasks in the trustless edge computing environment. Meanwhile, we also mainly solve problems about data privacy sharing in Federated Learning and system performance degradation caused by data quality. The simulation results show that the proposed method has better performance and efficiency than the traditional data sharing method. © 1968-2012 IEEE.","Blockchain; data sharing; federated learning; privacy protection; trusted sandbox computing","Data privacy; Learning systems; Trusted computing; Block-chain; Calculation results; Computing process; Data Sharing; Federated learning; Integration mechanisms; Learning models; Modeling process; Privacy protection; Trusted sandbox computing; Blockchain",Article,"Final","",Scopus,2-s2.0-85131735212
"Lo S.K., Liu Y., Lu Q., Wang C., Xu X., Paik H.-Y., Zhu L.","Toward Trustworthy AI: Blockchain-Based Architecture Design for Accountability and Fairness of Federated Learning Systems",2023,"IEEE Internet of Things Journal",4,"10.1109/JIOT.2022.3144450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123351100&doi=10.1109%2fJIOT.2022.3144450&partnerID=40&md5=5caebdb737cb212f0ed066ad6c7c9d56","Federated learning is an emerging privacy-preserving AI technique where clients (i.e., organizations or devices) train models locally and formulate a global model based on the local model updates without transferring local data externally. However, federated learning systems struggle to achieve trustworthiness and embody responsible AI principles. In particular, federated learning systems face accountability and fairness challenges due to multistakeholder involvement and heterogeneity in client data distribution. To enhance the accountability and fairness of federated learning systems, we present a blockchain-based trustworthy federated learning architecture. We first design a smart contract-based data-model provenance registry to enable accountability. Additionally, we propose a weighted fair data sampler algorithm to enhance fairness in training data. We evaluate the proposed approach using a COVID-19 X-ray detection use case. The evaluation results show that the approach is feasible to enable accountability and improve fairness. The proposed algorithm can achieve better performance than the default federated learning setting in terms of the model's generalization and accuracy. © 2014 IEEE.","Accountability; AI; blockchain; fairness; federated learning; machine learning; responsible AI; smart contract","Data structures; Learning systems; Machine learning; Privacy-preserving techniques; Accountability; Block-chain; Collaborative Work; Fairness; Federated learning; Federated learning system; Machine-learning; Responsible AI; Smart contract.; Blockchain",Article,"Final","",Scopus,2-s2.0-85123351100
"Otoum S., Ridhawi I.A., Mouftah H.","A Federated Learning and Blockchain-Enabled Sustainable Energy Trade at the Edge: A Framework for Industry 4.0",2023,"IEEE Internet of Things Journal",7,"10.1109/JIOT.2022.3140430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122562510&doi=10.1109%2fJIOT.2022.3140430&partnerID=40&md5=a72c9b9e2a4ea70b1ee8dbe611bd82c3","Through the digitization of essential functional processes, Industry 4.0 aims to build knowledgeable, networked, and stable value chains. Network trustworthiness is a critical component of network security that is built on positive interactions, guarantees, transparency, and accountability. Blockchain technology has drawn the attention of researchers in various fields of data science as a safe and low-cost platform to track a large number of eventual transactions. Such a technique is adaptable to the renewable energy-trade sector, which suffers from security and trustworthy issues. Having a decentralized energy infrastructure, that is supported by blockchain and artificial intelligence, enables smart and secure microgrid energy trading. The new age of industrial production will be highly versatile in terms of production volume and customization. As such a robust collaboration solution between consumers, businesses, and suppliers must be both secure and sustainable. In this article, we introduce a cooperative and distributed framework that relies on computing, communication, and intelligence capabilities of edge and end devices to enable secure energy trading, remote monitoring, and network trustworthiness. The blockchain and federated learning-enabled solution provide secure energy trading between different critical entities. Such a technique, coupled with 5G and beyond networks, would enable mass surveillance, monitoring, and analysis to occur at the edge. Performance evaluations are conducted to test the effectiveness of the proposed solution in terms of reliability and responsiveness in a vehicular network energy-trade scenario. © 2014 IEEE.","Artificial intelligence (AI); blockchain; critical energy infrastructure; federated learning (FL); Industry 5.0","5G mobile communication systems; Blockchain; Commerce; Cooperative communication; Industry 4.0; Internet of things; Network security; Quality control; Adaptation models; Block-chain; Computational modelling; Critical energy; Critical energy infrastructure; Energy infrastructures; Federated learning; Industry 5.0.; Peer-to-peer computing; Quality-of-service; Task analysis; Quality of service",Article,"Final","",Scopus,2-s2.0-85122562510
"Malik H., Anees T., Naeem A., Naqvi R.A., Loh W.-K.","Blockchain-Federated and Deep-Learning-Based Ensembling of Capsule Network with Incremental Extreme Learning Machines for Classification of COVID-19 Using CT Scans",2023,"Bioengineering",,"10.3390/bioengineering10020203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149036336&doi=10.3390%2fbioengineering10020203&partnerID=40&md5=b13100482707e901c4b21f2ba9c7442c","Due to the rapid rate of SARS-CoV-2 dissemination, a conversant and effective strategy must be employed to isolate COVID-19. When it comes to determining the identity of COVID-19, one of the most significant obstacles that researchers must overcome is the rapid propagation of the virus, in addition to the dearth of trustworthy testing models. This problem continues to be the most difficult one for clinicians to deal with. The use of AI in image processing has made the formerly insurmountable challenge of finding COVID-19 situations more manageable. In the real world, there is a problem that has to be handled about the difficulties of sharing data between hospitals while still honoring the privacy concerns of the organizations. When training a global deep learning (DL) model, it is crucial to handle fundamental concerns such as user privacy and collaborative model development. For this study, a novel framework is designed that compiles information from five different databases (several hospitals) and edifies a global model using blockchain-based federated learning (FL). The data is validated through the use of blockchain technology (BCT), and FL trains the model on a global scale while maintaining the secrecy of the organizations. The proposed framework is divided into three parts. First, we provide a method of data normalization that can handle the diversity of data collected from five different sources using several computed tomography (CT) scanners. Second, to categorize COVID-19 patients, we ensemble the capsule network (CapsNet) with incremental extreme learning machines (IELMs). Thirdly, we provide a strategy for interactively training a global model using BCT and FL while maintaining anonymity. Extensive tests employing chest CT scans and a comparison of the classification performance of the proposed model to that of five DL algorithms for predicting COVID-19, while protecting the privacy of the data for a variety of users, were undertaken. Our findings indicate improved effectiveness in identifying COVID-19 patients and achieved an accuracy of 98.99%. Thus, our model provides substantial aid to medical practitioners in their diagnosis of COVID-19. © 2023 by the authors.","blockchain; COVID-19; CT scans; data privacy; deep learning; federated learning",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85149036336
"Fu X., Peng R., Yuan W., Ding T., Zhang Z., Yu P., Kadoch M.","Federated Learning-Based Resource Management with Blockchain Trust Assurance in Smart IoT",2023,"Electronics (Switzerland)",,"10.3390/electronics12041034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148865651&doi=10.3390%2felectronics12041034&partnerID=40&md5=9c56acfcb0625eb9c768271fa352096d","Resource management is a key issue that needs to be addressed in the future smart Internet of Things (IoT). This paper focuses on a Federated Learning (FL)-based resource management mechanism in IoT. It incorporates blockchain technology to guarantee the security of the FL model parameters exchange. We propose an IoT resource management framework incorporating blockchain and federated learning technologies; then, a specific FL-based resource management with a blockchain trust assurance algorithm is given. We use a Support Vector Machine (SVM) classifier to detect malicious nodes in order to avoid the impact on the performance of the FL-based algorithm. Finally, we perform simulation to verify the SVM classification effect and the proposed algorithm performance. The results show that the SVM-based malicious node identification accuracy can be acceptable. Moreover, the proposed algorithm obtains better performance when malicious nodes are excluded from the FL selected participant. © 2023 by the authors.","blockchain; federated learning (FL); Internet of Things (IoT); malicious nodes; resource management",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85148865651
"Liu S., Wang X., Hui L., Wu W.","Blockchain-Based Decentralized Federated Learning Method in Edge Computing Environment",2023,"Applied Sciences (Switzerland)",,"10.3390/app13031677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148008619&doi=10.3390%2fapp13031677&partnerID=40&md5=68d5091889499580d9d83bd10d78fcbf","In recent years, federated learning has been able to provide an effective solution for data privacy protection, so it has been widely used in financial, medical, and other fields. However, traditional federated learning still suffers from single-point server failure, which is a frequent issue from the centralized server for global model aggregation. Additionally, it also lacks an incentive mechanism, which leads to the insufficient contribution of local devices to global model training. In this paper, we propose a blockchain-based decentralized federated learning method, named BD-FL, to solve these problems. BD-FL combines blockchain and edge computing techniques to build a decentralized federated learning system. An incentive mechanism is introduced to motivate local devices to actively participate in federated learning model training. In order to minimize the cost of model training, BD-FL designs a preference-based stable matching algorithm to bind local devices with appropriate edge servers, which can reduce communication overhead. In addition, we propose a reputation-based practical Byzantine fault tolerance (R-PBFT) algorithm to optimize the consensus process of global model training in the blockchain. Experiment results show that BD-FL effectively reduces the model training time by up to 34.9% compared with several baseline federated learning methods. The R-PBFT algorithm can improve the training efficiency of BD-FL by 12.2%. © 2023 by the authors.","blockchain; consensus algorithm; decentralized federated learning; edge computing; stable matching",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85148008619
