Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Series
54.0,"M Shuaib, S Alam, MS Alam, MS Nasir",Self-sovereign identity for healthcare using blockchain,2021.0,Materials Today: Proceedings,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214785321021027,"https://scholar.google.com/scholar?cites=1782046568281951533&as_sdt=2005&sciodt=0,5&hl=en",1.0,2023-11-17 09:33:29,HTML,,,,,,,,54.0,27.0,14.0,4.0,2.0,… Self-sovereign identity enables patients to have full power over their identity and the existence of … so interconnected that the self-sovereign identity is as important as physical identity. …,https://www.sciencedirect.com/science/article/pii/S2214785321021027,"https://scholar.google.com/scholar?q=related:LU2mg-kZuxgJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,"A Grech, I Sood, L Ariño","Blockchain, self-sovereign identity and digital credentials: promise versus praxis in education",2021.0,Frontiers in Blockchain,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fbloc.2021.616779/full,"https://scholar.google.com/scholar?cites=9134193171781527065&as_sdt=2005&sciodt=0,5&hl=en",9.0,2023-11-17 09:33:29,HTML,10.3389/fbloc.2021.616779,,,,,,,37.0,18.5,12.0,3.0,2.0,… tamper-free digital identity solutions since several characteristics of the technology comply with the key properties of self-sovereign identity. Blockchain provides a decentralized domain …,https://www.frontiersin.org/articles/10.3389/fbloc.2021.616779/full,"https://scholar.google.com/scholar?q=related:GSbWcUssw34J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,"AJ Zwitter, OJ Gstrein, E Yap",Digital identity and the blockchain: universal identity management and the concept of the “Self-Sovereign” individual,2020.0,Frontiers in Blockchain,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fbloc.2020.00026/full,"https://scholar.google.com/scholar?cites=8047842883306956321&as_sdt=2005&sciodt=0,5&hl=en",12.0,2023-11-17 09:33:29,HTML,10.3389/fbloc.2020.00026,,,,,,,48.0,16.0,16.0,3.0,3.0,"… identity. With this primer on digital identity that includes perspectives on self-sovereign identity… able to seek a sustainable technological solution, identity as a concept should be carefully …",https://www.frontiersin.org/articles/10.3389/fbloc.2020.00026/full,"https://scholar.google.com/scholar?q=related:Iaaqi3aur28J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,"Y Liu, Q Lu, HY Paik, X Xu",Design patterns for blockchain-based self-sovereign identity,2020.0,… of the European Conference on Pattern …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3424771.3424802,"https://scholar.google.com/scholar?cites=10565222360874442626&as_sdt=2005&sciodt=0,5&hl=en",18.0,2023-11-17 09:33:29,,10.1145/3424771.3424802,,,,,,,29.0,9.67,7.0,4.0,3.0,… the current gap and scarcity of blockchain skills in the market. … design of blockchain-based self-sovereign identity systems … design of blockchain-based self-sovereign identity applications…,https://dl.acm.org/doi/pdf/10.1145/3424771.3424802,"https://scholar.google.com/scholar?q=related:gl_voMI1n5IJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,"S Mahula, E Tan, J Crompvoets",With blockchain or not? Opportunities and challenges of self-sovereign identity implementation in public administration: Lessons from the Belgian case,2021.0,DG. O2021: The 22nd Annual …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3463677.3463705,"https://scholar.google.com/scholar?cites=8797648249566529609&as_sdt=2005&sciodt=0,5&hl=en",24.0,2023-11-17 09:33:29,,10.1145/3463677.3463705,,,,,,,13.0,6.5,4.0,3.0,2.0,"… a self-sovereign identity system? To what extent is SSI perceived to be dependent on blockchain … Ølnes &Jansen (2018) to analyse blockchain opportunities, barriers, and driving forces …",https://dl.acm.org/doi/pdf/10.1145/3463677.3463705,"https://scholar.google.com/scholar?q=related:SQhAlniGF3oJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,"R Nokhbeh Zaeem, KC Chang, TC Huang, ...","Blockchain-based self-sovereign identity: Survey, requirements, use-cases, and comparative study",2021.0,IEEE/WIC/ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3486622.3493917,"https://scholar.google.com/scholar?cites=12249931323953724602&as_sdt=2005&sciodt=0,5&hl=en",28.0,2023-11-17 09:33:29,,10.1145/3486622.3493917,,,,,,,9.0,4.5,2.0,4.0,2.0,"… vulnerabilities, risks for identity owners, and liability for identity issuers and those relying on … Self-Sovereign Identity (SSI) and similar forms of identity management on the blockchain …",https://dl.acm.org/doi/pdf/10.1145/3486622.3493917,"https://scholar.google.com/scholar?q=related:ujwx36J_AKoJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,"C Dong, Z Wang, S Chen, Y Xiang",BBM: A blockchain-based model for open banking via self-sovereign identity,2020.0,Blockchain–ICBC 2020: Third …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-59638-5_5,"https://scholar.google.com/scholar?cites=9789982635704969973&as_sdt=2005&sciodt=0,5&hl=en",32.0,2023-11-17 09:33:29,,10.1007/978-3-030-59638-5_5,,,,,,,18.0,6.0,5.0,4.0,3.0,"… In this paper, we proposed (BBM) a blockchain-based self-sovereign identity system model for open banking. The model provides a reliable secured communication network between …",,"https://scholar.google.com/scholar?q=related:9epvblYB3YcJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,"T Rathee, P Singh",A self-sovereign identity management system using blockchain,2022.0,Cyber Security and Digital Forensics: Proceedings of …,Springer,https://link.springer.com/chapter/10.1007/978-981-16-3961-6_31,"https://scholar.google.com/scholar?cites=13046246891922375307&as_sdt=2005&sciodt=0,5&hl=en",33.0,2023-11-17 09:33:29,,10.1007/978-981-16-3961-6_31,,,,,,,7.0,7.0,4.0,2.0,1.0,"… In this paper, we propose BSelSovID; a blockchain-based self-sovereign identity management system that uses blockchain to eliminate the problems faced by centralized systems. The …",,"https://scholar.google.com/scholar?q=related:i8ITHW2UDbUJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,"T Zhou, X Li, H Zhao","EverSSDI: blockchain-based framework for verification, authorisation and recovery of self-sovereign identity using smart contracts",2019.0,International Journal of Computer …,inderscienceonline.com,https://www.inderscienceonline.com/doi/abs/10.1504/IJCAT.2019.100300,"https://scholar.google.com/scholar?cites=18365759052587136317&as_sdt=2005&sciodt=0,5&hl=en",34.0,2023-11-17 09:33:29,,10.1504/IJCAT.2019.100300,,,,,,,25.0,6.25,8.0,3.0,4.0,"… novel blockchain-based framework for self-sovereign identity … by providing a unique digital identity across the network, (ii) a … methods of self-sovereign identity using the SNS accounts. …",,"https://scholar.google.com/scholar?q=related:PfXeZ41I4P4J:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,"F Schardong, R Custódio, L Pioli, J Meyer",Matching metadata on blockchain for self-sovereign identity,2021.0,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-94343-1_32,"https://scholar.google.com/scholar?cites=10771294116183081394&as_sdt=2005&sciodt=0,5&hl=en",35.0,2023-11-17 09:33:29,,10.1007/978-3-030-94343-1_32,,,,,,,2.0,1.0,1.0,4.0,2.0,"… Self-Sovereign Identity (SSI) is a privacy-preserving identity paradigm where users own and manage their digital identities. SSI is also referred to as blockchain identity, … on blockchain-…",,"https://scholar.google.com/scholar?q=related:sgFZDu5Se5UJ:scholar.google.com/&scioq=intitle:blockchain+intitle:decentralized%7Cintitle:%22self+sovereign%22+intitle:identity&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
