"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Thorve A.; Shirole M.; Jain P.; Santhumayor C.; Sarode S.","Thorve, Atharva (58178733500); Shirole, Mahesh (36500348900); Jain, Pratik (58178670800); Santhumayor, Crehan (58178733600); Sarode, Soham (58178644400)","58178733500; 36500348900; 58178670800; 58178733600; 58178644400","Decentralized Identity Management Using Blockchain","2022","Proceedings - 2022 4th International Conference on Advances in Computing, Communication Control and Networking, ICAC3N 2022","","","","1985","1991","6","0","10.1109/ICAC3N56670.2022.10074477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152193057&doi=10.1109%2fICAC3N56670.2022.10074477&partnerID=40&md5=6cc0d5c627e5e1430174140406867917","Identity management is the process of setting and organizing the roles and access privileges of a user's identity. The current identity management system is centralized and is controlled by a single entity. Users' privacy concerns are not in their best interest. Users have very little to no control over their data. The centralized system becomes a single point of failure which is prone to attack that leads to users losing their data privacy if these centralized systems are breached. Therefore we propose a Blockchain-based decentralized Identity Management System that makes use of self-sovereign identity, decentralized identifiers, and verifiable credentials. It also gives users the ability to choose from a very large number of identity providers instead of just a select few corporations. The main advantages of the proposed solution include the elimination of the need for a central authority for identity verification and identity data management, the reduction of time spent on identity verification, the ability to share data with permission, and the ability to verify the origin of the data while sharing. © 2022 IEEE.","","Authentication; Blockchain; Information management; 'current; Block-chain; Centralised; Centralized systems; Decentralised; Identity management; Identity management systems; Identity verification; Management IS; User identity; Data privacy","Conference paper","Final","","Scopus","2-s2.0-85152193057"
"Ahmed K.A.M.; Saraya S.F.; Wanis J.F.; Ali-Eldin A.M.T.","Ahmed, Khaled A. M. (57221975818); Saraya, Sabry F. (6505937169); Wanis, John F. (58406094700); Ali-Eldin, Amr M. T. (58223544000)","57221975818; 6505937169; 58406094700; 58223544000","A Blockchain Self-Sovereign Identity for Open Banking Secured by the Customer’s Banking Cards","2023","Future Internet","15","6","208","","","","3","10.3390/fi15060208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163683012&doi=10.3390%2ffi15060208&partnerID=40&md5=65e83513252513b249888fbea66b875d","Open finance is evolving and extending open banking. This creates a large context that implies a financial and identity data exchange paradigm, which faces challenges to balance customer experience, security, and the self-control over personal identity information. We propose Self-Sovereign Banking Identity (SSBI), a Blockchain-based self-sovereign identity (SSI) to secure private data sharing by utilizing trusted customer’s banking cards as a key storage and identity transaction-signing enclave. The design and implementation of the SSI framework is based on the Veramo SDK and Ethereum to overcome the limitation of signing curve availability on the current banking Java Cards needed for Hyperledger Indy. SSBI uses the elliptic curve SECP256K1 for transaction signing, which exists for several payment cards in the market. SSBI enables automated financial services and trust in the service provider communication. This work analyzes the flow and framework components, and evaluates the usability, integration, and performance in terms of throughput, latency, security, and complexity. Furthermore, the proposed approach is compared with related solutions. The presented prototype implementation is based on a test Ethereum network and signing transactions on the banking card. The preliminary results show that SSBI provides an effective solution for integrating the customer’s banking cards to secure open banking identity exchange. Furthermore, it allows the integration of several scenarios to support trusted open banking. The Blockchain layer settings need to be scaled and improved before real-world implementation. © 2023 by the authors.","banking card; Blockchain; digital identity; open banking; self-sovereign identity","Digital storage; Electronic data interchange; Electronic document identification systems; Electronic money; Finance; Sales; Banking card; Block-chain; Customer experience; Digital identity; Identity information; Key storage; Open banking; Personal identity; Private data sharing; Self-sovereign identity; Blockchain","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163683012"
"Singh Sidhu S.; Nguyen M.N.H.; Ngene C.; Rouhani S.","Singh Sidhu, Sahilpreet (57998345800); Nguyen, Minh Nam Hai (57998468700); Ngene, Chikamnaele (57998218100); Rouhani, Sara (57202057730)","57998345800; 57998468700; 57998218100; 57202057730","Trust Development for Blockchain Interoperability Using Self-sovereign Identity Integration","2022","2022 IEEE 13th Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2022","","","","33","40","7","1","10.1109/IEMCON56893.2022.9946562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143611405&doi=10.1109%2fIEMCON56893.2022.9946562&partnerID=40&md5=5ba13a72c76e8f98057190b2e5f2f1cc","Despite advances in developing various blockchain platforms and services, disparate blockchain networks do not support direct communications, causing fragmentation and data and asset in silos. Blockchain interoperability is a solution that allows communication between different blockchain platforms to exchange data and assets. This study investigates a blockchain interoperability solution based on publish-subscribe architecture to share data between various blockchain platforms. We extend the solution by providing decentralized identifiers and verifiable credentials to the users sharing and accessing data through inte-gration with Hyperledger Indy, Aries, and Ursa stack projects, which are blockchain services offering decentralized identity. We also designed a testbed comprising multiple permissioned blockchain platforms integrated with decentralized identity ser-vices to evaluate the proposed system's security and integrity  © 2022 IEEE.","Blockchain; Hyperledger; Interoperability; Publish-subscribe; Self-sovereign identity","Distributed ledger; Interoperability; Accessing data; Block-chain; Decentralised; Direct communications; Hyperledg; Identity integrations; Publish/subscribe; Self-sovereign identity; Service offering; System security; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85143611405"
"Haque R.U.; Hasan A.S.M.T.; Daria A.; Qu Q.; Jiang Q.","Haque, Rakib Ul (57394540700); Hasan, A. S. M. Touhidul (55628524132); Daria, Apubra (57368113500); Qu, Qiang (57202461736); Jiang, Qingshan (7402522962)","57394540700; 55628524132; 57368113500; 57202461736; 7402522962","Towards Convergence of Blockchain and Self-sovereign Identity for Privacy-Preserving Secure Federated Learning","2022","Communications in Computer and Information Science","1563 CCIS","","","243","255","12","3","10.1007/978-981-19-0852-1_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127086369&doi=10.1007%2f978-981-19-0852-1_19&partnerID=40&md5=c62ca84a6fe3d52d9f88ecd31561a51f","More and more researchers are eager to train their Machine Learning (ML) model by the distributed dataset in a federated manner. However, there are numerous privacy and security concerns in federated learning, i.e., adversarial attacks, authentication, and model inversion attacks. In this paper, we integrate self-sovereign identity for privacy-preserving secure federated learning. The proposed framework represents identity management and authentication scheme for edge devices, which are participated in FL. It guarantees participants’ privacy, where users’ private data are not shared with the centralized training module. The trust triangle and Blockchain ensure the authenticity of the distributed federated learning, where data privacy is handled with Differential Privacy. Result analysis is done based on measured score and time complexity. In terms of accuracy, BCWD, HDD, and DD achieve 94.69 %, 81.05 % and 78.00 %, respectively on standard ML, whereas 94.45 %, 80.59 % and 76.43 % on ϵ DP-based FL with privacy budget, ϵ = 3. For the time complexity measurement, the total number of transactions employed in the system is 1000. Transactions time and their verification took 3323.15 s. Moreover, the proposed system shows robust performance in both cases. © 2022, Springer Nature Singapore Pte Ltd.","Blockchain; Differential privacy; Federated learning; Privacy; Self-sovereign identity (SSI)","Authentication; Budget control; Learning systems; Privacy-preserving techniques; Block-chain; Differential privacies; Federated learning; Machine learning models; Model inversion; Privacy; Privacy and security; Privacy preserving; Self-sovereign identity; Time complexity; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85127086369"
"Sahabandu N.; Bandara E.; Foytik P.; Shetty S.; Mukkamala R.; Rahman A.; Liang X.","Sahabandu, Nadini (58500206800); Bandara, Eranga (57207573380); Foytik, Peter (55923281600); Shetty, Sachin (8970891400); Mukkamala, Ravi (7005198384); Rahman, Abdul (57237822300); Liang, Xueping (57195358870)","58500206800; 57207573380; 55923281600; 8970891400; 7005198384; 57237822300; 57195358870","GreenThread - Blockchain, Non-Fungible Token(NFT), Model Cards, Self-Sovereign Identity and IPFS Enabled Sustainable Circular Fashion Platform","2023","Proceedings of the 2023 Annual Modeling and Simulation Conference, ANNSIM 2023","","","","357","368","11","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165449109&partnerID=40&md5=f7c2e17b09cfa03760df97079ca1523a","Circular fashion aims to design, produce, and provide fashion items for long-term usage and circulation in society, while minimizing textile waste. However, promoting this practice has been challenging due to a lack of data privacy, anonymity, and security requirements of participants in the circular fashion ecosystem. In this paper, we propose 'GreenThread' a blockchain, Model Cards, Self-Sovereign Identity(SSI), and IPFS-enabled sustainable circular fashion platform. It integrates a Non-Fungible Token(NFT) enabled circular fashion marketplace. Each circular fashion item can be represented as a NFT token and sold in this marketplace, appealing to the buyers' preference to showcase their ownership of the item. Users can interact with the platform via a SSI-enabled mobile application. This capability of GreenThread ensures the anonymity, security and data privacy requirements of participants. GreenThread encodes data provenance information of circular fashion items into Model Cards and stores them in the IPFS. This way, we guarantee proof of circularity of source materials, manufacturing, and upcycling processes, and evidence for ownership transfer.  © 2023 SCS.","Blockchain; Circular fashion; IPFS; Model Cards; NFT; Self-Sovereign Identity","Commerce; Data privacy; Block-chain; Circular fashion; Data provenance; IPFS; Mobile applications; Model card; Non-fungible token; Privacy requirements; Security requirements; Self-sovereign identity; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85165449109"
"Kang M.; Lemieux V.L.","Kang, Meng (57221288020); Lemieux, Victoria L. (36182946400)","57221288020; 36182946400","A decentralized identity-based blockchain solution for privacy-preserving licensing of individual-controlled data to prevent unauthorized secondary data usage","2021","Ledger","6","","","126","151","25","8","10.5195/LEDGER.2021.239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120777418&doi=10.5195%2fLEDGER.2021.239&partnerID=40&md5=24f7cc23e2896197c4562b6c5aae7ad9","This paper presents a design for a blockchain solution aimed at the prevention of unauthorized secondary use of data. This solution brings together advances from the fields of identity management, confidential computing, and advanced data usage control. In the area of identity management, the solution is aligned with emerging decentralized identity standards: Decentralized identifiers (DIDs), DID communication and verifiable credentials (VCs). In respect to confidential computing, the Cheon-Kim-Kim-Song (CKKS) fully homomorphic encryption (FHE) scheme is incorporated with the system to protect the privacy of the individual's data and prevent unauthorized secondary use when being shared with potential users. In the area of advanced data usage control, the solution leverages the PRIV-DRM solution architecture to derive a novel approach to licensing of data usage to prevent unauthorized secondary usage of data held by individuals. Specifically, our design covers necessary roles in the data-sharing ecosystem: The issuer of personal data, the individual holder of the personal data (i.e., the data subject), a trusted data storage manager, a trusted license distributor, and the data consumer. The proof-of-concept implementation utilizes the decentralized identity framework being developed by the Hyperledger Indy/Aries project. A genomic data licensing use case is evaluated, which shows the feasibility and scalability of the solution. © Ekonomika 2021.","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85120777418"
"Wang Z.; Duan M.; Wang M.","Wang, Zhiping (57211204528); Duan, Meijiao (36680051200); Wang, Maoning (57190730225)","57211204528; 36680051200; 57190730225","An Updatable and Revocable Decentralized Identity Management Scheme Based on Blockchain","2023","Communications in Computer and Information Science","1879 CCIS","","","372","388","16","0","10.1007/978-981-99-5968-6_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174284088&doi=10.1007%2f978-981-99-5968-6_27&partnerID=40&md5=dc9f074bc53555c5859cec49f99aa5cf","We study the decentralized identity management mechanism based on blockchain. Finally, we propose an updatable and revocable decentralized identity management scheme DIURS. In the scheme, we construct the DID management tree, which is a dynamic chameleon authentication tree essentially by using the chameleon hash function. We design algorithms in detail from four stages: system initialization, identity creation, identity update and revocation, and identity verification. We make the DID documents on the blockchain editable successfully and realize the update and revocation of DIDs. Then, we observe that DIURS can meet the structural stability and irreversibility requirements. The time of identity search and update is milliseconds. The length of the identity authentication path is short. There is no need to save the historical version of DID documents. These results indicate that DIURS is not only safe and reliable but also performs well and achieves functional optimization. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Blockchain; Chameleon hash function; decentralized identity; DID management tree","Authentication; Blockchain; Stability; Block-chain; Chameleon hash function; Decentralised; Decentralized identity; DID management tree; Identity management; Identity verification; Management mechanisms; Management scheme; Mechanism-based; Hash functions","Conference paper","Final","","Scopus","2-s2.0-85174284088"
"Shao W.; Jia C.; Xu Y.; Qiu K.; Gao Y.; He Y.","Shao, Wei (58440890600); Jia, Chunfu (55954230300); Xu, Yunkai (57219443086); Qiu, Kefan (57211231804); Gao, Yan (57219439930); He, Yituo (57219287166)","58440890600; 55954230300; 57219443086; 57211231804; 57219439930; 57219287166","AttriChain: Decentralized traceable anonymous identities in privacy-preserving permissioned blockchain","2020","Computers and Security","99","","102069","","","","28","10.1016/j.cose.2020.102069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092703922&doi=10.1016%2fj.cose.2020.102069&partnerID=40&md5=2b0d20c6d345f78279361a33244a7006","In this paper, we propose a framework named AttriChain that supports transactions with anonymous sender identity and threshold traceability in permissioned blockchain. AttriChain realizes on-chain access control and distributed identity governance by allowing users to create transactions anonymously using their transaction keys and their attributes. It provides unlinkability and anonymity of transactions belonging to legitimate users whereas provides accountability for those whom other members in the network regard as questionable or malicious. The design of threshold traceability of anonymous transactions allows network members to trace transactions back to the sender without violating the decentralized property of blockchain. In AttriChain, the spontaneous tracing of misbehaviors in the network distributes the power of identity governance to multiple independent tracing members instead of depending on single-point management. It significantly increases user privacy and autonomy in a permissioned network and facilitates auditing at the same time. We define the functionality and the protocol of AttriChain in the universal composable model. We also provide an implementation of an AttriChain prototype for performance analysis. © 2020 Elsevier Ltd","Anonymity; Attribute-based signatures; Blockchain privacy; Identity management; Traceability","Access control; Anonymous transaction; Composable modeling; Legitimate users; Performance analysis; Privacy preserving; Single point; Unlinkability; User privacy; Blockchain","Article","Final","","Scopus","2-s2.0-85092703922"
"Harrell D.T.; Usman M.; Hanson L.; Abdul-Moheeth M.; Desai I.; Shriram J.; de Oliveira E.; Bautista J.R.; Meyer E.T.; Khurshid A.","Harrell, Daniel Toshio (56319829200); Usman, Muhammad (57540281800); Hanson, Ladd (57762674500); Abdul-Moheeth, Mustafa (57210900656); Desai, Ishav (57487273600); Shriram, Jahnavi (35726992100); de Oliveira, Eliel (57761962600); Bautista, John Robert (56684511200); Meyer, Eric T. (55545861313); Khurshid, Anjum (32867798300)","56319829200; 57540281800; 57762674500; 57210900656; 57487273600; 35726992100; 57761962600; 56684511200; 55545861313; 32867798300","Technical Design and Development of a Self-Sovereign Identity Management Platform for Patient-Centric Health Care using Blockchain Technology","2022","Blockchain in Healthcare Today","5","Special issue","196","","","","2","10.30953/bhty.v5.196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132700535&doi=10.30953%2fbhty.v5.196&partnerID=40&md5=eca19a4a06a298e618069a84195f8871","Objective: Clinical data in the United States are highly fragmented, stored in numerous different databases, and are defined by service providers or clinical specialties rather than by individuals or their families. As a result, linking or aggregating a complete record for a patient is a major technological, legal, and operational challenge. One of the factors that has made clinical data integration so difficult to achieve is the lack of a universal ID for everyone. This leads to other related problems of having to prove identity at each interaction with the health system and repeatedly providing basic information on demographics, insurance, payment, and medical conditions. Traditional solutions that require complex governance, expensive technology, and risks to privacy and security of the data have failed adequately to solve this interoperability problem. We describe the technical design decisions of a patient-centric decentralized health identity management system using the blockchain technology, called MediLinker, to address some of these challenges. Design: Our multidisciplinary research group developed and implemented an identity wallet, which uses the blockchain technology to manage verifiable credentials issued by healthcare clinics, banks, and insurance com-panies. To manage patient’s self-sovereign identity, we leveraged the Hyperledger Indy blockchain framework to store patient’s decentralized identifiers (DIDs) and the schemas or format for each credential type. In con-trast, the credentials containing patient data are stored ‘off-ledger’ in each person’s wallet and accessible via a computer or smartphone. We used Hyperledger Aries as a middleware layer (API: Application Programming Interface) to connect Hyperledger Indy with the front-end, which was developed using a JavaScript frame-work, ReactJS (Web Application) and React Native (iOS Application). Results: MediLinker allows users to store their personal data on digital wallets, which they control. It uses a decentralized trusted identity using Hyperledger Indy and Hyperledger Aries. Patients use MediLinker to register and share their information securely and in a trusted system with healthcare and other service provid-ers. Each MediLinker wallet can have six credential types: health ID with patient demographics, insurance, medication list including COVID-19 vaccination status, credit card, medical power of attorney (MPOA) for guardians of pediatric or geriatric patients, and research consent. The system allows for in-person and remote granting and revoking of such permissions for care, research, or other purposes without repeatedly requiring physical identity documents or enrollment information. Conclusion: We successfully developed and tested a blockchain-based technical architecture, described in this article, as an identity management system that may be operationalized and scaled for future implementation to improve patient experience and control over their personal information. © 2022, Partners in Digital Health. All rights reserved.","blockchain technology; decentralized identifiers; health information; hyperledger; self-sovereign identity; verifiable credentials","Application programming interfaces (API); Authentication; Data integration; Data privacy; Health insurance; Hospital data processing; Medical computing; Medical problems; mHealth; Middleware; Population statistics; Block-chain; Blockchain technology; Clinical data; Decentralised; Decentralized identifier; Health informations; Hyperledg; Self-sovereign identity; Technical design; Verifiable credential; Blockchain","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85132700535"
"Kim J.; Choi M.; Lee C.; Woo J.; Hong J.W.-K.","Kim, Jeongheon (57315550400); Choi, Minji (57878700900); Lee, Chaehyeon (57205301808); Woo, Jongsoo (57220121815); Hong, James Won-Ki (24500144700)","57315550400; 57878700900; 57205301808; 57220121815; 24500144700","Service Applicable Blockchain-based Self-Sovereign Identity Management System","2023","2023 IEEE International Conference on Blockchain and Cryptocurrency, ICBC 2023","","","","","","","0","10.1109/ICBC56567.2023.10174875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166230080&doi=10.1109%2fICBC56567.2023.10174875&partnerID=40&md5=1bdc4bf5019d0f5390facd50b7f52a33","Managing identity is a crucial issue, and with the advent of digital identity, Self-Sovereign Identity (SSI) has been highlighted. SSI allows the owner to have sovereignty over their identity information. Currently, blockchain technology is widely used to implement SSI management system. Issuing a verifiable credential (VC) based on blockchain has two advantages: it ensures the VC has not been tampered with and makes the VC trustworthy by sharing the same ledger among untrusted parties. This paper presents a SSI management system which was designed and implemented for police or firefighters who still manage identity information centrally. Furthermore, given the inherent risks associated with these occupations, it is imperative to have a secure healthcare system to meet their specific needs. We propose a system that links these healthcare systems, allowing owners of identity information to monitor how their identity information has been used. The usage history of the system is stored in a permissioned blockchain, specifically Hyperledger Fabric. © 2023 IEEE.","Blockchain; Decentralized Identifier (DID); Self-Sovereign Identity (SSI); Verifiable Credential (VC)","Distributed ledger; Electronic document identification systems; Health care; Information management; Block-chain; Credential-based; Decentralised; Decentralized identifier; Digital identity; Healthcare systems; Identity information; Identity management systems; Self-sovereign identity; Verifiable credential; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85166230080"
