Title,Abstract
Decentralizing privacy: Using blockchain to protect personal data,"… blockchain and offblockchain storage to construct a personal data management platform focused on privacy. 2) … Note that the same system could be used for other dataprivacy concerns, …"
Invisible Ink: blockchain for data privacy,… -to- peer network that uses blockchain technology and off-blockchain storage to securely distribute sensitive data in a decentralized manner using a custom blockchain protocol. Our two …
Healthcare data gateways: found healthcare intelligence on blockchain with novel privacy risk control,"… Data Gateway (HGD)) architecture based on blockchain to enable patient to own, control and share their own data easily and securely without violating privacy, … patient data private. Our …"
"Blockchain and health IT: algorithms, privacy, and data",
"Blockchain enhances privacy, security and conveyance of data",
Blockchain and Big Data Privacy in Healthcare,
"Blockchain technology and the GDPR–How to reconcile privacy and distributed ledgers? European Data Protection Law Review, 2 (3): 422–426",
Provchain: A blockchain-based data provenance architecture in cloud environment with enhanced privacy and availability,"… and privacy. In this paper, we propose a decentralized and trusted cloud data provenance architecture using blockchain … In this paper, we present ProvChain, a blockchain based data …"
Medibchain: A blockchain based privacy preserving platform for healthcare data,… centric healthcare data management system by using Blockchain as storage to attain privacy. Pseudonymity is ensured by using the cryptographic functions to protect patient’s data. …
A blockchain-based data usage auditing architecture with enhanced privacy and availability,"… blockchain-based platform for data usage auditing while preserving users’ privacy and ensuring continuous data … First, relying on a blockchain infrastructure, we provide a trusted and …"
Blockchain: Solving the privacy and research availability tradeoff for EHR data: A new disruptive technology in health data management,"… data records, (2) a peer-to-peer network containing identical exemplars of the blockchain data structure, (3) a consensus mechanism securing the synchronized growth of the blockchain…"
"The effect of a blockchain-supported, privacy-preserving system on disclosure of personal data",… The relatively new blockchain technology seems to be not yet well-known: 82.1% of the participants have never heard about blockchain technology in the context of data privacy. …
Blockchain: solving the privacy and research availability tradeoff for EHR data,
The first workshop on blockchain & eHealth: towards provable privacy & security in data intensive health research,"… We need to study the scalability of blockchain in multijurisdictional health research. Finally, … data, and complexity of applicable privacy policies, the governance of private blockchain …"
