Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author full names,Author(s) ID,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,EID,Item type,Journal,Publication year,Pages,Address,Proceedings title,Conference location,Date published,ISBN,URLs,Keywords,Series
39.0,"V Wylde, N Rawindaran, J Lawrence, ...","Cybersecurity, data privacy and blockchain: a review",2022.0,SN Computer …,Springer,https://link.springer.com/article/10.1007/s42979-022-01020-4,"https://scholar.google.com/scholar?cites=2018266879693533478&as_sdt=2005&sciodt=0,5&hl=en",1.0,2023-11-16 18:25:10,HTML,10.1007/s42979-022-01020-4,,,,,,,39.0,39.0,10.0,4.0,1.0,"… utilising Blockchain technology. The challenges indicated are Cybersecurity and Data privacy in … Additional challenges are set out supported by literature, in researching data security …",https://link.springer.com/article/10.1007/s42979-022-01020-4,"https://scholar.google.com/scholar?q=related:JrERqghTAhwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,"SMY Aks, M Karmila, B Givan, ...",A Review of Blockchain for Security Data Privacy with Metaverse,2022.0,… Conference on ICT …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9915055/,"https://scholar.google.com/scholar?cites=3003386233669775592&as_sdt=2005&sciodt=0,5&hl=en",2.0,2023-11-16 18:25:10,,,,,,,,,11.0,11.0,3.0,4.0,1.0,"… blockchain method, by paying attention to data security in privacy, with this concept, the distribution of data will be safer because it uses the blockchain method. In this research, how to …",,"https://scholar.google.com/scholar?q=related:6HAv7d0rrikJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,"J Liu, J Zhao, H Huang, G Xu",A novel logistics data privacy protection method based on blockchain,2022.0,Multimedia Tools and Applications,Springer,https://link.springer.com/article/10.1007/s11042-022-12836-w,"https://scholar.google.com/scholar?cites=139374227430545217&as_sdt=2005&sciodt=0,5&hl=en",10.0,2023-11-16 18:25:10,,10.1007/s11042-022-12836-w,,,,,,,11.0,11.0,3.0,4.0,1.0,"… access rights to different data, to achieve the purpose of data privacy protection. The traditional … with blockchain, we can rely on the decentralized nature of blockchain to make the data …",,"https://scholar.google.com/scholar?q=related:QZfXFB8o7wEJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,"F Loukil, C Ghedira-Guegan, K Boukadi, ...",Data privacy based on IoT device behavior control using blockchain,2021.0,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3434776,"https://scholar.google.com/scholar?cites=10676408622366521106&as_sdt=2005&sciodt=0,5&hl=en",14.0,2023-11-16 18:25:10,,10.1145/3434776,,,,,,,19.0,9.5,5.0,4.0,2.0,… to preserve privacy in a private area network using the blockchain technology. The objective … enables the data owner to control the IoT devices first by defining the privacy permission …,http://eprints.staffs.ac.uk/7502/1/Accepted_TOIT_Paper.pdf,"https://scholar.google.com/scholar?q=related:EvcSdRM5KpQJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,"Q Zhang, H Lv, J Ma, J Li, J Zhang",Overview of Blockchain Data Privacy Protection,2021.0,… of the 2021 3rd Blockchain and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3475992.3476000,"https://scholar.google.com/scholar?cites=10265875012838232211&as_sdt=2005&sciodt=0,5&hl=en",15.0,2023-11-16 18:25:10,,10.1145/3475992.3476000,,,,,,,6.0,3.0,1.0,5.0,2.0,"… of blockchain. In this paper, the basic principle of blockchain technology, data privacy threats, data privacy protection methods, and the future of blockchain data privacy protection are …",,"https://scholar.google.com/scholar?q=related:kxDI6O62d44J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,"D Amo, D Fonseca, M Alier, FJ García-Peñalvo, ...",Personal data broker instead of blockchain for students' data privacy assurance,2019.0,New Knowledge in …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-16187-3_36,"https://scholar.google.com/scholar?cites=4337984496533390593&as_sdt=2005&sciodt=0,5&hl=en",20.0,2023-11-16 18:25:10,,10.1007/978-3-030-16187-3_36,,,,,,,23.0,5.75,5.0,5.0,4.0,"… of Blockchain related to the privacy and data security … the Blockchain a suitable technology to ensure data privacy … motivated by the upward trend of Blockchain’s use, advocate …",https://upcommons.upc.edu/bitstream/handle/2117/166615/worldcist2019_v10_camera_ready.pdf,"https://scholar.google.com/scholar?q=related:AUUGfeqdMzwJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,"KM Lee, I Ra",Data privacy-preserving distributed knowledge discovery based on the blockchain,2020.0,Information Technology and Management,Springer,https://link.springer.com/article/10.1007/s10799-020-00317-1,"https://scholar.google.com/scholar?cites=7951885931945361734&as_sdt=2005&sciodt=0,5&hl=en",25.0,2023-11-16 18:25:10,,10.1007/s10799-020-00317-1,,,,,,,13.0,4.33,7.0,2.0,3.0,… Here we propose a blockchain-based method to discourage the participants to cheat or be … data privacy. The proposed method gives penalty to the betraying parties in the data privacy-…,,"https://scholar.google.com/scholar?q=related:RoEHzB_GWm4J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,"J Gong, Y Mei, F Xiang, H Hong, ...",A data privacy protection scheme for Internet of things based on blockchain,2021.0,Transactions on …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.4010,"https://scholar.google.com/scholar?cites=11364120833744463945&as_sdt=2005&sciodt=0,5&hl=en",27.0,2023-11-16 18:25:10,,10.1002/ett.4010,,,,,,,16.0,8.0,3.0,5.0,2.0,"… of data privacy leakage currently facing the IoT, this article uses blockchain technology to … proposes a blockchain-based data privacy protection scheme for the IoT. This article uses …",,"https://scholar.google.com/scholar?q=related:SWj0R7B3tZ0J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,"TDT Nguyen, HA Pham, MT Thai",Leveraging blockchain to enhance data privacy in IoT-based applications,2018.0,… Data and Social Networks: 7th …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-04648-4_18,"https://scholar.google.com/scholar?cites=17777423332125945171&as_sdt=2005&sciodt=0,5&hl=en",29.0,2023-11-16 18:25:10,,10.1007/978-3-030-04648-4_18,,,,,,,17.0,3.4,6.0,3.0,5.0,… how blockchain can be leveraged to tackle data privacy … full control over their data and can track how data are accessed by … using blockchain that helps prevent fraudulent data caused …,https://www.researchgate.net/profile/Truc-Nguyen-43/publication/329015471_Leveraging_Blockchain_to_Enhance_Data_Privacy_in_IoT-Based_Applications/links/5bf785cca6fdcc538813b909/Leveraging-Blockchain-to-Enhance-Data-Privacy-in-IoT-Based-Applications.pdf,"https://scholar.google.com/scholar?q=related:U60b7VQYtvYJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,"F Daneshgar, O Ameri Sianaki, ...",Blockchain: a research framework for data security and privacy,2019.0,"Web, Artificial Intelligence …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-15035-8_95,"https://scholar.google.com/scholar?cites=4726348822490816233&as_sdt=2005&sciodt=0,5&hl=en",30.0,2023-11-16 18:25:10,,10.1007/978-3-030-15035-8_95,,,,,,,29.0,7.25,10.0,3.0,4.0,"… theme called ‘blockchain data security and privacy’, and … such as ‘blockchain (security) applications’, ‘blockchain (security) … , a blockchain-based architecture for preserving data privacy, …",https://www.researchgate.net/profile/Farhad-Daneshgar/publication/331760491_Blockchain_A_Research_Framework_for_Data_Security_and_Privacy/links/5d05da82458515b055d55a50/Blockchain-A-Research-Framework-for-Data-Security-and-Privacy,"https://scholar.google.com/scholar?q=related:6Z4meTZdl0EJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,"P Moriggl, PM Asprion, B Schneider",Blockchain technologies towards data privacy—hyperledger sawtooth as unit of analysis,2021.0,New Trends in Business Information …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-48332-6_20,"https://scholar.google.com/scholar?cites=2507852262123357504&as_sdt=2005&sciodt=0,5&hl=en",32.0,2023-11-16 18:25:10,,10.1007/978-3-030-48332-6_20,,,,,,,12.0,6.0,4.0,3.0,2.0,"… —data privacy and blockchain—are elaborated in Sect. 2. In Sect. 3, we discuss the characteristics forming the morphological box; as baseline, we use blockchain and data privacy …",https://www.researchgate.net/profile/Petra-Asprion/publication/342784110_Blockchain_Technologies_Towards_Data_Privacy-Hyperledger_Sawtooth_as_Unit_of_Analysis/links/61aa3c1f29948f41dbc0ab9e/Blockchain-Technologies-Towards-Data-Privacy-Hyperledger-Sawtooth-as-Unit-of-Analysis.pdf,"https://scholar.google.com/scholar?q=related:QMUFYViuzSIJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,"F Loukil, C Ghedira-Guegan, K Boukadi, ...",Towards an end-to-end IoT data privacy-preserving framework using blockchain technology,2018.0,… Engineering–WISE 2018 …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-02922-7_5,"https://scholar.google.com/scholar?cites=9102242375702792037&as_sdt=2005&sciodt=0,5&hl=en",34.0,2023-11-16 18:25:10,,10.1007/978-3-030-02922-7_5,,,,,,,24.0,4.8,6.0,4.0,5.0,"… privacy, a rigorous privacy model that preserves data privacy while maintaining utility in our framework. In fact, by adding some noise to the transactions, we can prevent blockchain …",https://hal.science/hal-01871493/file/loukil2018towards.pdf,"https://scholar.google.com/scholar?q=related:ZcdFBzepUX4J:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,"BK Zheng, LH Zhu, M Shen, F Gao, C Zhang, ...",Scalable and privacy-preserving data sharing based on blockchain,2018.0,Journal of Computer …,Springer,https://link.springer.com/article/10.1007/s11390-018-1840-5,"https://scholar.google.com/scholar?cites=685670300426292095&as_sdt=2005&sciodt=0,5&hl=en",36.0,2023-11-16 18:25:10,,10.1007/s11390-018-1840-5,,,,,,,116.0,23.2,19.0,6.0,5.0,"… 2) We propose a new method to protect multi-party data privacy in blockchain. In this new method, the (p, t)-threshold Paillier cryptosystem is applied to the blockchain. The private key …",https://jcst.ict.ac.cn/en/article/pdf/preview/10.1007/s11390-018-1840-5.pdf,"https://scholar.google.com/scholar?q=related:f8vxYYH9gwkJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,"MMH Onik, CS Kim, NY Lee, J Yang",Privacy-aware blockchain for personal data sharing and tracking,2019.0,Open Computer Science,degruyter.com,https://www.degruyter.com/document/doi/10.1515/comp-2019-0005/html,"https://scholar.google.com/scholar?cites=3514705382024903759&as_sdt=2005&sciodt=0,5&hl=en",43.0,2023-11-16 18:25:10,,10.1515/comp-2019-0005,,,,,,,62.0,15.5,16.0,4.0,4.0,"… data sharing, deleting, modifying and tracking features to verify the privacy of proposed blockchain … It allows data privacy tracking of the internet of things (IoT) apparatus. However, the …",https://www.degruyter.com/document/doi/10.1515/comp-2019-0005/pdf,"https://scholar.google.com/scholar?q=related:T3y_Wey9xjAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,"H Tian, J He, Y Ding",Medical data management on blockchain with privacy,2019.0,Journal of medical systems,Springer,https://link.springer.com/article/10.1007/s10916-018-1144-x,"https://scholar.google.com/scholar?cites=4643381301053638713&as_sdt=2005&sciodt=0,5&hl=en",60.0,2023-11-16 18:25:10,,10.1007/s10916-018-1144-x,,,,,,,104.0,26.0,35.0,3.0,4.0,"… we think its privacy is weak. In this paper, the encrypted data is stored in a blockchain and is … embedded, which balances the integrity, availability and privacy properties of medical data. …",,"https://scholar.google.com/scholar?q=related:OUj-DbGacEAJ:scholar.google.com/&scioq=intitle:blockchain+intitle:data+intitle:privacy&hl=en&as_sdt=0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
