"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Alamer A.; Basudan S.","Alamer, Abdulrahman (57190581376); Basudan, Sultan (57195488212)","57190581376; 57195488212"," A Security and Privacy-Preserving Accessing Data Protocol in Vehicular Crowdsensing Using Blockchain","2023","Lecture Notes in Networks and Systems","448","","","315","327","12","0","10.1007/978-981-19-1610-6_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135933758&doi=10.1007%2f978-981-19-1610-6_27&partnerID=40&md5=39198d973c97d50ffee947c02d6d1706","This paper exploits the advantage of blockchain to fulfill secure data storage and access in vehicular crowdsensing. In vehicular crowdsensing, organizations can have a right to access vehicles’ profiles with unlimited privilege, which results in security and privacy disclosure. Thus, based on the proposed blockchain, we design a secure and privacy-preserving vehicle’s profile record accessing (BSPPA) protocol. The proposed BSPPA is able to store the vehicle’s sensing data and indexes as encrypted data for a secure indexes search. This will result in controlling the privilege of data access and prevent vehicle’s data from being revealing private data. Analysis of the security is demonstrated to show the efficiency of the BSPPA scheme. Furthermore, the performance evaluation shows the efficiency of the BSPPA protocol. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Blockchain; Security and privacy-preserving; Sensing data; Smart vehicle; Vehicular crowdsensing","","Conference paper","Final","","Scopus","2-s2.0-85135933758"
"Hao P.; Pan T.; Han R.; Qu X.; Yang Z.; Sun G.","Hao, Puhe (57759222200); Pan, Tianyu (58663618500); Han, Rui (58183671400); Qu, Xiao (58663809700); Yang, Zhexuan (58663999700); Sun, Guozi (56310316900)","57759222200; 58663618500; 58183671400; 58663809700; 58663999700; 56310316900","RPChain: Regulatable Privacy-Preserving Group Data Sharing Based on Consortium Blockchain","2023","APNOMS 2023 - 24th Asia-Pacific Network Operations and Management Symposium: Intelligent Management for Enabling the Digital Transformation","","","","334","337","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174839764&partnerID=40&md5=a4cffe53af5a5ee9d1b7c5e3257488a9","Due to the transparency and immutability of consortium blockchain systems, researchers proposed network analysis and clustering algorithms to achieve deanonymization of user identity and reveal transaction patterns. The exposure of user privacy has motivated further research on privacy-enhancing data sharing schemes, which poses additional difficulties for regulation. In this paper, we propose RPChain, a framework that allows users to share data anonymously and cuts the link between data sender and data receiver via ring signature and broadcast. Combining secret sharing and proxy re-encryption, RPChain allows identity privacy and transaction privacy to be revealed only if a data transfer is determined to be illegal by a vote. We utilize a thresholding mechanism to spread the computational overhead across different authorities and adopt data indexing for efficiency. Experiments show that RPChain can handle large throughput and data size. Security analysis shows the promise of RPChain in ensuring identity and transaction privacy. Copyright 2023 KICS.","consortium blockchain; data sharing; threshold proxy re-encryption","Clustering algorithms; Data transfer; Privacy-preserving techniques; Block-chain; Consortium blockchain; Data Sharing; Deanonymization; Privacy preserving; Proxy re encryptions; Threshold proxy re-encryption; Transaction patterns; User identity; User privacy; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85174839764"
"Gao Y.; Huang Z.; He J.","Gao, Yue (58577458600); Huang, Zhiqing (55494547900); He, Jun (58577458700)","58577458600; 55494547900; 58577458700","Privacy-Preserving and Verifiable IoT Data Aggregation scheme Based on Blockchain and Homomorphic Encryption","2023","Proceedings of SPIE - The International Society for Optical Engineering","12717","","1271738","","","","0","10.1117/12.2684676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171281022&doi=10.1117%2f12.2684676&partnerID=40&md5=e38ceb558a69d9d81cdaaf6e12f8f8c2","As an important step in the IoT workflow, IoT data aggregation transmits, filters, analyzes and synthesizes data collected by IoT devices such as sensors to help people make decisions and evaluate. However, the traditional IoT data aggregation model relies on a central data aggregator, such as a third-party cloud server, and uses traditional encryption technology to process data, which may face problems such as original data leakage and calculation errors, and it is difficult to ensure that data participants can safely participate in the aggregation. Due to its homomorphic characteristics and performance improvements in recent years, homomorphic encryption technology makes it possible to use homomorphic encryption technology to protect data privacy during data transmission and calculation. In addition, as a non-tamperable ledger technology, the blockchain can be used to store evidence, specifically to store the promises made by the commitment mechanism, and complete the verification of data consistency and correctness. © 2023 SPIE.","Blockchain; data aggregation; Homomorphic Encryption; Iot; privacy; verifiable","Internet of things; Privacy-preserving techniques; Aggregation schemes; Block-chain; Data aggregation; Encryption technologies; Ho-momorphic encryptions; Homomorphic-encryptions; Iot; Privacy; Privacy preserving; Verifiable; Blockchain","Conference paper","Final","","Scopus","2-s2.0-85171281022"
"Xu S.; Zhong J.; Wang L.; He D.; Zhang S.; Shao W.","Xu, Shujiang (55800847500); Zhong, Jinrong (57897311500); Wang, Lianhai (10041394500); He, Debiao (35603655700); Zhang, Shuhui (35303908100); Shao, Wei (57211232122)","55800847500; 57897311500; 10041394500; 35603655700; 35303908100; 57211232122","A privacy-preserving and efficient data sharing scheme with trust authentication based on blockchain for mHealth","2023","Connection Science","35","1","2186316","","","","0","10.1080/09540091.2023.2186316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150694799&doi=10.1080%2f09540091.2023.2186316&partnerID=40&md5=fd01e89694f1a760489a1d197ac05758","The mobile healthcare (mHealth) is a promising and fascinating paradigm, which can dramatically improve the quality of healthcare delivery by providing remote diagnosis and medical record sharing. Now, the mHealth faces serious challenges such as data leakage and unauthorised access currently. Attribute-based encryption (ABE) which has been employed for mHealth is an excellent cryptographic primitive of securing data sharing. However, there are still some security and efficiency issues in the ABE-based data sharing scheme for mHealth. Firstly, the explicit storage of access policy may expose the privacy of users. Secondly, the computation cost is high, especially in the mHealth with IoT devices. Thirdly, the authentication of access rights to shared data is usually performed by the centralised third parties or IoT devices with limited resources. To handle the above issues, this paper presents a privacy-preserving and efficient data sharing scheme. The scheme partially hides access policy to protect user's privacy, and introduces an offline mechanism in key generation and encryption phase to improve efficiency of mHealth. Furthermore, it also provides decentralised and trusted authentication of data access right based on blockchain. The security proofs and the experiment results demonstrate that the presented scheme has better security and efficiency. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","access authentication; Attribute-based encryption; blockchain; mobile healthcare; outsourced decryption; privacy-preserving","Authentication; Diagnosis; Digital storage; Efficiency; Internet of things; Privacy-preserving techniques; Access authentications; Access policies; Access rights; Attribute-based encryptions; Block-chain; Data Sharing; Outsourced decryption; Privacy preserving; Quality of health care; Sharing schemes; Blockchain","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85150694799"
"Wen Y.-F.; Wang C.-P.","Wen, Yean-Fu (8661455300); Wang, Chia-Pei (58298244300)","8661455300; 58298244300","Data privacy mechanisms development and performance evaluation for personal and ubiquitous blockchain-based storage","2023","Journal of Supercomputing","79","17","","19636","19670","34","0","10.1007/s11227-023-05425-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160859441&doi=10.1007%2fs11227-023-05425-7&partnerID=40&md5=1933249a57aa9846db71371b94b9c6b2","In the era of global communication and the sharing economy, the demand for personal and ubiquitous storage among enterprises and individual users has increased; thus, the flexible expansion of the data access architecture has become crucial. According to the storage requirements, the aim of this study was to develop store and access mechanisms for achieving data privacy, decentralisation, and load balancing in a data storage system. We explore how factors such as data privacy, file segmentation, security processes, and auditing mechanisms affect the performance of ubiquitous storage systems. We developed a trust evaluation model to reduce the access error rates, which are caused by the abnormal storage hosts or transmission failed. The file segmentation and encryption methods are used to store data in untrustworthy decentralised hosts. Although such data can be decrypted, they are difficult to recognise because a part of the transformed file is adopted to protect user privacy. Furthermore, with the developed mechanism, any user can share their storage and computing power to achieve blockchain-based peer-to-peer storage functions. We conducted a series of simulations to evaluate and compare the performance of the proposed data privacy mechanism and existing data privacy mechanisms in ubiquitous storage. The results indicated that the proposed mechanism outperformed other mechanisms. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Blockchain; Data privacy; File segment; Sharing storage; System performance; Ubiquitous","Cloud storage; Computing power; Cryptography; Data privacy; Electric power transmission; Peer to peer networks; Block-chain; File segment; File segmentations; Mechanism development; Performance; Performances evaluation; Privacy mechanisms; Sharing storage; Systems performance; Ubiquitous; Blockchain","Article","Final","","Scopus","2-s2.0-85160859441"
"Li T.; Wang H.; He D.; Yu J.","Li, Tian (57210994120); Wang, Huaqun (24833714700); He, Debiao (35603655700); Yu, Jia (56518399000)","57210994120; 24833714700; 35603655700; 56518399000","Designated-Verifier Aggregate Signature Scheme With Sensitive Data Privacy Protection for Permissioned Blockchain-Assisted IIoT","2023","IEEE Transactions on Information Forensics and Security","18","","","4640","4651","11","0","10.1109/TIFS.2023.3297327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165317072&doi=10.1109%2fTIFS.2023.3297327&partnerID=40&md5=33ca895fb28c6b08f1d8a1645d40c33a","Aggregate signatures enable the sensor nodes of Industrial Internet of Things to send their signatures to the aggregator to realize signature compression. Before being stored in the data center, sensitive data and non-sensitive data should adopt different data processing methods in the process of sensor data fusion. In the high security analysis scenario of Industrial Internet of Things, only the verifier with a specified high security level can verify the resulting aggregate signature. So far, no one has explored how to ensure sensitive data privacy in the designated-verifier aggregate signatures. Motivated by it, this paper proposes a designated-verifier aggregate signature scheme (named DVAS) based on permissioned blockchain to achieve sensitive data privacy. In this scheme, the aggregator can be used not only to aggregate signatures, but also to sanitize data. Through smart contracts, the aggregator can sanitize the sensitive data according to the contract, and convert the original signature of the sensitive data into a valid signature. Therefore, DVAS can achieve elastic sensitive data privacy, not limited to encryption operations. The security attributes of DVAS include conditional anonymity, unforgeability, immutability and protecting data privacy. At the same time, DVAS realizes accountability through signature verification. Finally, the formal security proof, performance evaluation and experiments indicate that DVAS is secure, effective and practical for Industrial Internet of Things.  © 2023 IEEE.","Aggregate signature; designated-verifier; Industrial Internet of Things; permissioned blockchain; sensitive data privacy","Aggregates; Authentication; Blockchain; Internet of things; Network security; Sensitive data; Sensor nodes; Aggregate signature; Block-chain; Designated verifiers; Industrial internet of thing; Permissioned blockchain; Security; Sensitive data privacy; Sensitive datas; Cryptography","Article","Final","","Scopus","2-s2.0-85165317072"
"Wang Z.; Chen Q.; Liu L.","Wang, Zhiwei (36497509400); Chen, Qingqing (58326102900); Liu, Lei (57210374815)","36497509400; 58326102900; 57210374815","Permissioned Blockchain-Based Secure and Privacy-Preserving Data Sharing Protocol","2023","IEEE Internet of Things Journal","10","12","","10698","10707","9","0","10.1109/JIOT.2023.3242959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148454773&doi=10.1109%2fJIOT.2023.3242959&partnerID=40&md5=34ded306aada9e16f4e9482e9a5ac15b","In this Internet of Things era, privacy preserving is one of the most vital barriers for personal data sharing. In this article, we present a secure and privacy-preserving data sharing protocol over the permissioned blockchains which require to certificate the users before they submit the transactions. We use the structure-preserving Groth signature to construct the anonymous credentials for satisfying the requirement of permissioned blockchains, and the anonymous credentials does not disclose the real identities of data owners. We prove that the anonymous credential in our protocol achieves the ideal functionality. For the secure access control and privacy protection of the data accessors, we propose an efficiently anonymous authentication scheme which utilizes the ElGamal commitment and the one-out-of-many proof to ensure a data accessor is authorized, but any unauthorized entities cannot learn the real identity of the data accessor, and even the data owner does not know who (although in the access control list) and when downloads his/her data. The blockchain platform is used to record the data storing, access control list, and the storage addresses, which helps to enhance the security level of the protocol. We implement our protocol over the ThinkPad, the RaspBerry Pi, the Huawei cloud, and the Hyperledger Fabric, and the experiments show the good performances.  © 2014 IEEE.","Anonymous credential; blockchain; Groth signature; one-out-of-many proof; privacy preserving","Blockchain; Digital storage; Internet of things; Network security; Privacy-preserving techniques; Public key cryptography; Accessors; Anonymous credential; Block-chain; Data Sharing; Groth signature; One-out-of-many proof; Privacy preserving; Public keys; Security; Authentication","Article","Final","","Scopus","2-s2.0-85148454773"
"Emon R.I.; Onik M.M.H.; Al Hussain A.; Tanna T.A.; Emon M.A.; Rifat M.A.A.; Miraz M.H.","Emon, Rasel Iqbal (57423462100); Onik, Md. Mehedi Hassan (57849614500); Al Hussain, Abdullah (57423443100); Tanna, Toufiq Ahmed (57423366900); Emon, Md. Akhtaruzzaman (57423327200); Rifat, Muhammad Al Amin (57920004100); Miraz, Mahdi H. (43261770700)","57423462100; 57849614500; 57423443100; 57423366900; 57423327200; 57920004100; 43261770700","Privacy-preserved Secure Medical Data Sharing Using Hierarchical Blockchain in Edge Computing","2022","Annals of Emerging Technologies in Computing","6","4","","38","48","10","0","10.33166/AETiC.2022.04.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139519593&doi=10.33166%2fAETiC.2022.04.005&partnerID=40&md5=890f2a47c0e436d9f3749caaabd41c4c","A distributed ledger technology, embedded with privacy and security by architecture, provides a transparent application developing platform. Additionally, edge technology is trending rapidly which brings the computing and data storing facility closer to the user end (device), in order to overcome network bottlenecks. This study, therefore, utilises the transparency, security, efficiency of blockchain technology along with the computing and storing facility at the edge level to establish privacy preserved storing and tracking schemes for electronic health records (EHRs). Since the EHR stored in a block is accessible by the peer-to-peer (P2P) nodes, privacy has always been a matter of great concern for any blockchain-based activities. Therefore, to address this privacy issue, multilevel blockchain, which can enforce and preserve complete privacy and security of any blockchain-based application or environment, has become one of the recent blockchain research trends. In this article, we propose an EHR sharing architecture consisting of three different interrelated multilevel or hierarchical chains confined within three different network layers using edge computing. Furthermore, since EHRs are sensitive, a specific data de-identification or anonymisation strategy is also applied to further strengthen the privacy and security of the data shared. © 2022 by the author(s).","Blockchain; De-identification; Edge Computing; Health Level Seven (HL7); Medical Data; Privacy; Security","Distributed ledger; Edge computing; Network architecture; Network layers; Sensitive data; Block-chain; De-identification; Edge computing; Electronic health; Health level seven (HL7); Health records; Medical data; Privacy; Privacy and security; Security; Blockchain","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85139519593"
"AbdulKader M.M.; Kumar S.G.","AbdulKader, M. Mohideen (57387771900); Kumar, S. Ganesh (57738974900)","57387771900; 57738974900","A privacy-preserving data transfer in a blockchain-based commercial real estate platform using random address generation mechanism","2023","Journal of Supercomputing","79","10","","10796","10822","26","0","10.1007/s11227-022-04906-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142395763&doi=10.1007%2fs11227-022-04906-5&partnerID=40&md5=7fa76a9389e6a74873d94ebfcdb7e84e","To conceal the actual output address, the stealth address protocol generates a one-time temporary output address for the blockchain. The user identity privacy is improved here by hiding the relationship between the input address and the actual output address. Many existing mechanisms like basic-stealth address, double-key stealth address (DKSAP), improved stealth address and perfected double-key stealth address were proposed earlier. But the commonly used double-key stealth address protocol (DKSAP) mandates that the sender delivers the temporary public key along with the transaction, making it possible for attackers to discriminate between stealth and non-stealth transactions and causing a privacy leakage risk. While in the perfected double-key, stealth address protocol, senders and receivers keep track of the number of transactions they have with other users in local transaction record databases. To prevent the temporary key for a transaction from being leaked, senders and receivers generate a temporary key pair based on the number of transactions that have happened between them. We propose a randomized addressing model, where the sender creates a one-time address for every transaction based on their last transaction id and the public key of the receiver which restricts the attacker to track the user identity and transaction information. To improve the real estate technology via the blockchain, the proposed model is deployed in a blockchain-based commercial real estate platform. Finally, we verify the proposed protocol by comparing it with the existing techniques in terms of different performance metrics. Based on the security analysis results obtained, the proposed methodology tends to be efficient in terms of privacy protection, receiver anonymity, copyright protection, and anti-tampering. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Blockchain; Elliptic curve cryptography; Information security; Privacy protection; Stealth address protocol","Copyrights; Data transfer; Privacy-preserving techniques; Public key cryptography; Block-chain; Curve cryptography; Elliptic curve; Elliptic curve cryptography; Privacy preserving; Privacy protection; Public keys; Real-estates; Stealth address protocol; User identity; Blockchain","Article","Final","","Scopus","2-s2.0-85142395763"
"Suganthi P.; Malini A.; Felicia Lilian J.; Vetriveeran D.","Suganthi, P. (58631830500); Malini, A. (56618740100); Felicia Lilian, J. (57205393007); Vetriveeran, Divya (57214093132)","58631830500; 56618740100; 57205393007; 57214093132","Blockchain-Based Service Oriented Privacy-Preserving Data Sharing over Distributed Data Streams in Asynchronous Environment","2023","International Journal of Intelligent Systems and Applications in Engineering","11","4","","591","602","11","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174799659&partnerID=40&md5=25521dc8cc9dc7da7a70ba6c00c53d1c","Innovative city applications use information and communication technologies to function various operations efficiently. The widespread use of the Internet of Things (IoT) can be viewed in several applications like smart cars, smart cities, e-commerce, and cyber-physical systems. The huge amount of data produced and transmitted by these systems is handled by cloud-based storage services, which are vulnerable to multiple threats risking the privacy and security features of the application. Cloud storage services employ encryption algorithms to ensure data confidentiality, but it fails to address the privacy issues. Apart from the privacy risks, in these systems, the identity of a user who shares and accesses the data is traceable, as it is required to verify user eligibility before providing access. Also, a vast amount of daily data is stored on a centralized system that processes service requests from multiple users, posing considerable risks to the system's stability during peak periods. To address these challenges faced during the data sharing process in a centralized system, Service Oriented Privacy-Preserving Data Sharing (SOPPDS) platform based on a blockchain framework is proposed. The modified Key Policy-Attribute-based Encryption (MKP-ABE) technique is applied to securely share the data between the service owners and the service consumers. It was evident from the performance evaluation of the proposed SOPPDS platform that the encryption process takes lesser time than the decryption process. Also, the cryptographic operations performed on the prime order sets exhibited increased latency and computational cost. It was observed that comparatively, cryptographic operations performed on composite order sets could overcome the issues in prime order sets. SOPPDS platform works well in preserving the users' privacy, ensuring anonymity in the data sharing process, and maintaining the confidentiality of the data shared in the system. © 2023, Ismail Saritas. All rights reserved.","Blockchain; data sharing; Internet of Things; Privacy-preserving; Smart City; smart contract","","Article","Final","","Scopus","2-s2.0-85174799659"
